Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024142995000147494, 0.023292660000151955, 0.034762156999931904, 0.023271259997272864, 0.024243732001195895, 0.02327998600230785, 0.024206794001656817, 0.032984850000502774, 0.024231159000919433, 0.02319203200022457]"
0,Heap Sort,"[0.1879731279987027, 0.24077916299938806, 0.1949872460027109, 0.18844942700161482, 0.21864069799994468, 0.19323264400009066, 0.20184366000103182, 0.20377387899861787, 0.1914637469999434, 0.1884648550003476]"
0,Merge Sort,"[0.11123893599869916, 0.11593963999985135, 0.10426698700030101, 0.14557880600114004, 0.138795194998238, 0.11161407599865925, 0.1046034739993047, 0.10447934299736517, 0.10510107200025232, 0.10796397800004343]"
0,std::sort,"[0.0738945369994326, 0.0737562499998603, 0.07484612199914409, 0.13961336399734137, 0.07987452399902395, 0.07394573300189222, 0.0746535420003056, 0.07865929100080393, 0.07415753700115602, 0.07376797100005206]"
0,Numpy Sort,"[0.012990570998226758, 0.01306260500132339, 0.01284941799895023, 0.01284199400106445, 0.012948763000167673, 0.012873252002464142, 0.012940558000991587, 0.01303967299827491, 0.01299831600044854, 0.013016941000387305]"
1,Quick Sort,"[0.029709293998166686, 0.02334481700017932, 0.029649480999069056, 0.023311774999456247, 0.02982636100205127, 0.0233411299996078, 0.03614199799994822, 0.023327915001573274, 0.030103438002697658, 0.02330596500178217]"
1,Heap Sort,"[0.19074431499757338, 0.1872008080026717, 0.20471676700253738, 0.20739362799940864, 0.1971035419992404, 0.1947461670024495, 0.19342494300144608, 0.1876927359990077, 0.1882247869980347, 0.20829713300190633]"
1,Merge Sort,"[0.11537257300005876, 0.13600486300128978, 0.10590213300019968, 0.12007796699981554, 0.11444995300189476, 0.10611260799851152, 0.10624870200263103, 0.10353381699678721, 0.10366588599936222, 0.12128019900046638]"
1,std::sort,"[0.0895037609989231, 0.05911610200200812, 0.05905947700011893, 0.097587623000436, 0.06037790499976836, 0.06439243999921018, 0.08819906099961372, 0.059073674001410836, 0.05966869299663813, 0.05914218200268806]"
1,Numpy Sort,"[0.013048569002421573, 0.012995560999115696, 0.013005228000110947, 0.01915516599910916, 0.013003144002141198, 0.012876368000434013, 0.014292718999058707, 0.012894642000901513, 0.013336156000150368, 0.012972267002623994]"
2,Quick Sort,"[0.14361506099885446, 0.1436184679987491, 0.14915461100099492, 0.14893083299830323, 0.14298543800032348, 0.14306664999821805, 0.15674925100029213, 0.14296970600116765, 0.14330445199811948, 0.14351137800258584]"
2,Heap Sort,"[0.30056068200065056, 0.28452402799666743, 0.28746612400209415, 0.29910239299715613, 0.3499643129980541, 0.29274581800200394, 0.28493770999921253, 0.3012134330019762, 0.3149854620023689, 0.32499007700243965]"
2,Merge Sort,"[0.2308027540020703, 0.2575687799981097, 0.22459897699809517, 0.22367763000147534, 0.22547306699925684, 0.22423242399963783, 0.22351952499957406, 0.22502887900191126, 0.22362937000070815, 0.23600443299801555]"
2,std::sort,"[0.22840899099901435, 0.2106562010012567, 0.2212314360003802, 0.2098214840007131, 0.2334742160019232, 0.22176349400251638, 0.21304500800033566, 0.21064855700024054, 0.21320816699881107, 0.2096514479999314]"
2,Numpy Sort,"[0.013429418999294285, 0.013455928998155287, 0.013460436999594094, 0.013489761997334426, 0.013452913000946864, 0.016307907000737032, 0.021110356999997748, 0.019667010001285234, 0.029532163000112632, 0.013485905001289211]"
3,Quick Sort,"[0.14490661999661825, 0.14472350800133427, 0.14493478299846174, 0.1448239460005425, 0.14488327599974582, 0.156168711000646, 0.14479222699810634, 0.1550997650010686, 0.1449125910003204, 0.1448602740019851]"
3,Heap Sort,"[0.28443791799872997, 0.28657852899777936, 0.284555926999019, 0.2864386779983761, 0.2844959759968333, 0.28604674699818133, 0.28452316699986113, 0.2836912860002485, 0.2974763480015099, 0.30023132499991334]"
3,Merge Sort,"[0.24126001299737254, 0.22380720100045437, 0.22352461400078028, 0.22543246200075373, 0.22383303899914608, 0.2235509429992817, 0.27104988299834076, 0.22990209500130732, 0.2244142630006536, 0.22538347999943653]"
