Data set #,Algorithm,Runtime
3,std::sort,"[0.2114233409993176, 0.21146741299889982, 0.2328557719993114, 0.22540584200032754, 0.2444940620007401, 0.22956538399739657, 0.2115512900018075, 0.21529800500138663, 0.21154894499704824, 0.22044626500064624]"
3,Numpy Sort,"[0.013470655998389702, 0.013338639997527935, 0.013452051000058418, 0.013577245001215488, 0.014041881000594003, 0.013320115001988597, 0.013500842000212288, 0.01338628899975447, 0.013555694997194223, 0.013679334999324055]"
4,Quick Sort,"[0.14487180200012517, 0.1437850590009475, 0.14807281400135253, 0.1438637680003012, 0.1447310129988182, 0.15296494499852997, 0.1436987989982299, 0.1452891240005556, 0.14500711800064892, 0.14938435899966862]"
4,Heap Sort,"[0.28968068299946026, 0.2898867080002674, 0.28468804200019804, 0.3456299410026986, 0.29499899199799984, 0.28662873299981584, 0.2847861070004001, 0.2838355150015559, 0.2881420949997846, 0.29455647400027374]"
4,Merge Sort,"[0.24435376999826985, 0.2239464609992865, 0.23461438799859025, 0.2422828990020207, 0.2241197339972132, 0.22375436199945398, 0.22397843100043247, 0.2236997199979669, 0.22418703899893444, 0.2237626879978052]"
4,std::sort,"[0.2256882889996632, 0.21186365199901047, 0.20792788700055098, 0.20900769000218133, 0.2120218069976545, 0.2085403060009412, 0.2216314120014431, 0.21136760800072807, 0.21831818699865835, 0.20754219499940518]"
4,Numpy Sort,"[0.013426943998638308, 0.013406846999714617, 0.013377833001868566, 0.013514788999600569, 0.013302643001225078, 0.013343389000510797, 0.018580063002445968, 0.019786463999480475, 0.013805741000396665, 0.014425255998503417]"
5,Quick Sort,"[0.14181264899889356, 0.14175878099922556, 0.1416445510003541, 0.14362069200069527, 0.14167090699993423, 0.14927426299982471, 0.14421090299947537, 0.147697173000779, 0.14169836799919722, 0.14149789400107693]"
5,Heap Sort,"[0.28732053199928487, 0.2846001299985801, 0.33379849099947023, 0.2867621509976743, 0.283887321002112, 0.28839405400140095, 0.2845068060014455, 0.29690098499850137, 0.28706560700084083, 0.2837903430008737]"
5,Merge Sort,"[0.23946692899698974, 0.22388539700114052, 0.23264968799776398, 0.22402852400045958, 0.2541756329992495, 0.23474412300129188, 0.2597330429998692, 0.22870248799881665, 0.2239384259992221, 0.22443363099955604]"
5,std::sort,"[0.20998335599870188, 0.21017588600079762, 0.216602218002663, 0.2274236640005256, 0.24796907099880627, 0.21019835699917166, 0.2130785770023067, 0.2106528750009602, 0.21440403900123783, 0.228485133000504]"
5,Numpy Sort,"[0.013488579999830108, 0.013330875000974629, 0.013373185000091325, 0.013467049000610132, 0.013372402998356847, 0.013469934001477668, 0.01364432999980636, 0.013500752000254579, 0.013443104999169009, 0.013500893001037184]"
6,Quick Sort,"[0.1428121619974263, 0.14226128800146398, 0.14223007900000084, 0.14232776199787622, 0.142396679999365, 0.14236406900090515, 0.14325031200132798, 0.14301125599740772, 0.1423967310001899, 0.14228245800040895]"
6,Heap Sort,"[0.29459787100131507, 0.2790362460000324, 0.2826916509984585, 0.2790048269998806, 0.3099194790011097, 0.2826409170011175, 0.2811028189971694, 0.2803107719992113, 0.28065851100109285, 0.27889260899974033]"
6,Merge Sort,"[0.22605932999795186, 0.22363434900034918, 0.22490968700003577, 0.22404353199817706, 0.22351470600187895, 0.22500297100123134, 0.22377604299981613, 0.22366794099798426, 0.22520780299964827, 0.22508017500149435]"
6,std::sort,"[0.2095034920021135, 0.22384185799819534, 0.2095889709999028, 0.21069639699999243, 0.21344619099909323, 0.2099133060000895, 0.20961600200098474, 0.2124744409993582, 0.20967883900084416, 0.20964397599891527]"
6,Numpy Sort,"[0.013559530998463742, 0.013559781997173559, 0.015080568002304062, 0.013483370003086748, 0.013384404999669641, 0.01350335800088942, 0.013429931001155637, 0.013452922998112626, 0.013518833002308384, 0.013451008999254555]"
7,Quick Sort,"[0.14641331899838406, 0.1420052699977532, 0.14204833100302494, 0.14540485900215572, 0.14262048700038576, 0.1589419119991362, 0.14171124199856422, 0.1420429610006977, 0.141794156999822, 0.14295445999960066]"
7,Heap Sort,"[0.2818521669978509, 0.28259926999817253, 0.27958610099813086, 0.295050276999973, 0.28338911999890115, 0.28580537699963315, 0.28174618699995335, 0.2827211600015289, 0.2908688589996018, 0.28244070400251076]"
7,Merge Sort,"[0.22538082500250312, 0.22372536799957743, 0.22354210699995747, 0.2248380340024596, 0.2296366800001124, 0.2235801580027328, 0.2250400399971113, 0.22374861199932639, 0.2566971449996345, 0.22399011999732465]"
7,std::sort,"[0.2112340480016428, 0.21536425900194445, 0.21267706900107441, 0.21135679699727916, 0.2156251449996489, 0.22568595399934566, 0.21103341599882697, 0.2146697639982449, 0.21592748900002334, 0.21116274500309373]"
7,Numpy Sort,"[0.01334783699712716, 0.013274060002004262, 0.01315806400089059, 0.01334914000108256, 0.013316419001057511, 0.013295217999257147, 0.013325815998541657, 0.013971830998343648, 0.01325287000145181, 0.013325064999662573]"
8,Quick Sort,"[0.1461699450010201, 0.14274048899824265, 0.14798659299776773, 0.14296453899805783, 0.14483661899794242, 0.1454358869996213, 0.14442523199977586, 0.14394298299885122, 0.14514208900072845, 0.1427689440024551]"
8,Heap Sort,"[0.27904274799948325, 0.28290562799884356, 0.2889527260012983, 0.28571371599900885, 0.2787999550018867, 0.3192981080028403, 0.27840715300044394, 0.28292144800070673, 0.28163601599953836, 0.28272582499994314]"
8,Merge Sort,"[0.2253813059978711, 0.2236407109994616, 0.22990130400285125, 0.22501731700322125, 0.2236077400011709, 0.22364022000328987, 0.23610425900187693, 0.23732410299999174, 0.22436992100119824, 0.22598917900177184]"
8,std::sort,"[0.20916328800012707, 0.21237748000203283, 0.2124908410005446, 0.21232221700120135, 0.21015516699844738, 0.21097363299850258, 0.2089845439986675, 0.20932535999963875, 0.21221621899894672, 0.20901382800002466]"
8,Numpy Sort,"[0.013446862001728732, 0.017612848998396657, 0.013471057001879672, 0.013500701999873854, 0.013459625999530545, 0.013501744000677718, 0.013350883000384783, 0.013339611003175378, 0.013314474999788217, 0.013478299999405863]"
9,Quick Sort,"[0.1450497469995753, 0.16799855600038427, 0.14499356300075306, 0.14951102499981062, 0.14500852999844938, 0.1451741500022763, 0.14502780600014376, 0.14531395900121424, 0.14617714899941348, 0.14507255900025484]"
9,Heap Sort,"[0.2913022259999707, 0.28613547299755737, 0.27978545599762583, 0.28300416199999745, 0.2802990329983004, 0.29433498100115685, 0.28270365400021547, 0.2829822540006717, 0.28566021699953126, 0.28270450600030017]"
9,Merge Sort,"[0.2277170820016181, 0.2257149090000894, 0.2235909079972771, 0.2236780799976259, 0.22507295099785551, 0.22434388200053945, 0.23001709900199785, 0.22837638099736068, 0.22373952499765437, 0.22368475300027058]"
9,std::sort,"[0.27721236599973054, 0.20913909199953196, 0.22367782999936026, 0.2093466719998105, 0.20912192999821855, 0.20922683600292658, 0.20859135100181447, 0.20957550699677086, 0.23407673799738404, 0.20903283399820793]"
9,Numpy Sort,"[0.013329794001037953, 0.013396247999480693, 0.013485113002388971, 0.01329632099805167, 0.01331350300097256, 0.013406526002654573, 0.013346835999982432, 0.013360150001972215, 0.01333780799905071, 0.013379607000388205]"
