Data set #,Algorithm,Runtime
4,Heap Sort,"[0.28282525800022995, 0.2892425159989216, 0.2859939989975828, 0.28683769299823325, 0.28477778100204887, 0.28350111200052197, 0.2838842550008849, 0.28654318299959414, 0.2958890480003902, 0.3106092720008746]"
4,Merge Sort,"[0.22371433499938576, 0.22390713899949333, 0.2242840709986922, 0.23439212599987513, 0.23476356999890413, 0.23614912199991522, 0.2268304410026758, 0.22371803499845555, 0.22349137200217228, 0.22402938800223637]"
4,std::sort,"[0.23108266700000968, 0.21217126599731273, 0.2515677509982197, 0.20768017199952737, 0.21155444599935436, 0.20736654700158397, 0.24826211799882003, 0.2119034669995017, 0.2075546479973127, 0.23158791800233303]"
4,Numpy Sort,"[0.013398611998127308, 0.013419500999589218, 0.014398916999198264, 0.01338127900089603, 0.013464655003190273, 0.013347076001082314, 0.017889053997350857, 0.017870930998469703, 0.013406696998572443, 0.013277075999212684]"
5,Quick Sort,"[0.14261202099805814, 0.14699809000012465, 0.141646801999741, 0.1427995310004917, 0.14171768400046858, 0.15126723899811623, 0.14185490000090795, 0.14225388399790972, 0.14216543899965473, 0.14794039499975042]"
5,Heap Sort,"[0.5891071270016255, 0.6014429379974899, 0.32196232299975236, 0.5456378250019043, 0.4882737919979263, 1.028551288000017, 0.7216544709990558, 1.0799805159986136, 0.8793492400000105, 0.7093859189990326]"
5,Merge Sort,"[0.2606417099996179, 0.2882007740008703, 0.44905872600065777, 0.676497169999493, 0.4901281900019967, 0.5225891439986299, 0.3768551609973656, 0.26911194499916746, 0.4363719499997387, 0.3125926229986362]"
5,std::sort,"[0.2220592800003942, 0.21107684500020696, 0.21122040299815126, 0.2131719310018525, 0.21212428600119893, 0.23012718500103801, 0.2108415889997559, 0.21069306999925175, 0.21110431699707988, 0.26038323499960825]"
5,Numpy Sort,"[0.013522983997972915, 0.013928663000115193, 0.013397981001617154, 0.013637126998219173, 0.013667373001226224, 0.01352836400110391, 0.013769694000075106, 0.013430191000225022, 0.01338478599791415, 0.013495481998688774]"
6,Quick Sort,"[0.1580265929987945, 0.14337729899853002, 0.142317763002211, 0.14238270400164765, 0.14829163099784637, 0.1437716639993596, 0.14276360499934526, 0.1423237839990179, 0.14279006399738137, 0.14234782899802667]"
6,Heap Sort,"[0.28438804500183323, 0.28763535899997805, 0.31522347099962644, 0.28156812700035516, 0.28978760300014983, 0.3201314090001688, 0.3441673819979769, 0.2807583200010413, 0.28728976200000034, 0.2808041219977895]"
6,Merge Sort,"[0.26010240399773465, 0.22581807099777507, 0.2310652240012132, 0.2241385090019321, 0.2237185030026012, 0.22388540699830628, 0.2242356499991729, 0.223827166002593, 0.23095196600115742, 0.22781525400205282]"
6,std::sort,"[0.30164030000014463, 0.22469320299933315, 0.26494042500053183, 0.22798618000160786, 0.214731018000748, 0.21131552700171596, 0.2116824339973391, 0.21446843900048407, 0.22412275899841916, 0.22483877499689697]"
6,Numpy Sort,"[0.01361771099982434, 0.013423026997770648, 0.01360116900104913, 0.013521291002689395, 0.013453032999677816, 0.016153317999851424, 0.01816769399738405, 0.01366704199972446, 0.013593955998658203, 0.013397669998084893]"
7,Quick Sort,"[0.14254344399887486, 0.14185779499894124, 0.16584665600021253, 0.14926784899944323, 0.14200103300026967, 0.14185606200044276, 0.1617121839990432, 0.1423432400006277, 0.14238169199961703, 0.14622291500199935]"
7,Heap Sort,"[0.28794227200341993, 0.28340931000275305, 0.2833908460015664, 0.3147471800002677, 0.2951583859976381, 0.35249655400184565, 0.319984525001928, 0.3026938529983454, 0.30143447799855494, 0.2858374770003138]"
7,Merge Sort,"[0.22428091199981282, 0.2239297469968733, 0.2254309989984904, 0.2243178809985693, 0.2297851069997705, 0.23496434400294675, 0.223672059000819, 0.22363625300204149, 0.22446519799996167, 0.22418408399971668]"
7,std::sort,"[0.23018727700036834, 0.21177477699893643, 0.23077490600189776, 0.28321559600226465, 0.21131706300002406, 0.22207652499855612, 0.21532968500105198, 0.21244599999772618, 0.2115507560010883, 0.2236305619990162]"
7,Numpy Sort,"[0.01792724500046461, 0.01587676300187013, 0.013374466998357093, 0.013239134998002555, 0.013392339998972602, 0.013330764999409439, 0.013238072999229189, 0.013323071001650533, 0.01334050399964326, 0.013321968999662204]"
8,Quick Sort,"[0.14485084299667506, 0.14342104000024847, 0.14459956800055807, 0.1427725610010384, 0.14460321400110843, 0.15440653200130328, 0.1602159340000071, 0.1447675409981457, 0.14529952299926663, 0.1437629370011564]"
8,Heap Sort,"[0.27990599799886695, 0.2984743189990695, 0.3015232840007229, 0.2827866890002042, 0.2950465180001629, 0.29435706199728884, 0.29409226899952046, 0.28355933700004243, 0.28072254300059285, 0.3446001090014761]"
8,Merge Sort,"[0.23082775200236938, 0.2316158899993752, 0.22439881700120168, 0.22479832700264524, 0.22559816000284627, 0.24272284000107902, 0.2233510309997655, 0.22974314899693127, 0.2236901329997636, 0.22343331400043098]"
8,std::sort,"[0.20924032099719625, 0.20927069799654419, 0.20886647400038783, 0.21230051900056424, 0.20922621399950003, 0.23007165099988924, 0.2220484320023388, 0.21018564100086223, 0.21395892899818136, 0.21004533200175501]"
8,Numpy Sort,"[0.018199985999672208, 0.01824974700139137, 0.0134160140005406, 0.013478189997840673, 0.013350020999496337, 0.013376200000493554, 0.013334233000932727, 0.013395355999819003, 0.01348981200135313, 0.013414831999398302]"
9,Quick Sort,"[0.14519008900242625, 0.15279550600098446, 0.14546199600226828, 0.14503420800247113, 0.14518055100052152, 0.15567797400217387, 0.14506813100160798, 0.14513055499992333, 0.1465200790007657, 0.14836712200121838]"
9,Heap Sort,"[0.3109082020018832, 0.2853868490019522, 0.31512494100024924, 0.2854998179973336, 0.31785294099972816, 0.2834245180019934, 0.2839349599998968, 0.2829987470031483, 0.3013318459998118, 0.28397901999778696]"
9,Merge Sort,"[0.22391785800209618, 0.22394879499915987, 0.2307937200021115, 0.24724862800212577, 0.22363760499865748, 0.24021159000039916, 0.22496954799862579, 0.22973173699938343, 0.22355190500093158, 0.2314965259974997]"
9,std::sort,"[0.20857057200191775, 0.20862897400002112, 0.24517511199883302, 0.2086643170005118, 0.21261967399914283, 0.22284926200154587, 0.20883677900201292, 0.2131038150000677, 0.21971596300136298, 0.31430502599687316]"
9,Numpy Sort,"[0.013448915000481065, 0.013581842998974025, 0.013326076998055214, 0.0133480469994538, 0.013885488999221707, 0.01360247200136655, 0.01770346800185507, 0.0135694299970055, 0.013499540000339039, 0.07044802100062952]"
