Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024261706999823218, 0.02321421299711801, 0.03572647299733944, 0.0232044650001626, 0.03188647199931438, 0.02313084799970966, 0.024178250001568813, 0.02325375700092991, 0.03980289999890374, 0.023884452999482164]"
0,Heap Sort,"[0.18798474999857717, 0.1920160230001784, 0.18754586200157064, 0.18908720800027368, 0.18770405699979165, 0.18765968099978636, 0.18806674200095586, 0.18791372700070497, 0.18744913199770963, 0.21594215699951747]"
0,Merge Sort,"[0.11021704099766794, 0.10694994000004954, 0.11816381800235831, 0.10437304399965797, 0.10413665300075081, 0.11922996899738791, 0.11413351300143404, 0.10452869500295492, 0.10412026300036814, 0.10647530400092364]"
0,std::sort,"[0.0738848090004467, 0.07367867500215652, 0.07369389300220064, 0.07392371099922457, 0.07820383199941716, 0.07373180400099955, 0.07371324899941101, 0.07382692099781707, 0.07391816100061988, 0.07372635299907415]"
0,Numpy Sort,"[0.0129920459985442, 0.012813280001864769, 0.01282514199920115, 0.012780298999132356, 0.012871720002294751, 0.012849447997723473, 0.012819993000448449, 0.012850310002249898, 0.014343292998091783, 0.017895174998557195]"
1,Quick Sort,"[0.029696670000703307, 0.023345397999946726, 0.02980934999868623, 0.023352099997282494, 0.02969237199795316, 0.02345166600207449, 0.02970470499712974, 0.042496786001720466, 0.030065256996749667, 0.023399918998620706]"
1,Heap Sort,"[0.19107586299651302, 0.18768108400036, 0.18813343700094265, 0.1902051590004703, 0.18795017500087852, 0.18776318700111005, 0.190270381001028, 0.1876219730002049, 0.2255544399995415, 0.18761256599827902]"
1,Merge Sort,"[0.1031104299981962, 0.10328728099921136, 0.11052615700100432, 0.10297364600046421, 0.10311944699788, 0.10881307300223853, 0.10332561199902557, 0.11461904200041317, 0.1152531830011867, 0.10898285000075703]"
1,std::sort,"[0.0597370530012995, 0.059734182999818586, 0.05920422700000927, 0.05919014099708875, 0.059235444998194, 0.05909891099872766, 0.05938555499960785, 0.05914066799959983, 0.05938684800275951, 0.059146941002836684]"
1,Numpy Sort,"[0.012929807999171317, 0.012898599001346156, 0.01331642800141708, 0.012850579998485046, 0.012868654001067625, 0.012822868000512244, 0.015796994000993436, 0.017871390999061987, 0.012860107999586035, 0.012784216000000015]"
2,Quick Sort,"[0.192880808001064, 0.1716059190002852, 0.1452209640010551, 0.14492264999717008, 0.1507757940016745, 0.1470329749972734, 0.14267706299870042, 0.14271447300052387, 0.1429941240021435, 0.14274523999847588]"
2,Heap Sort,"[0.28616764300022624, 0.2845585530012613, 0.2827303240010224, 0.30158331300117425, 0.3385899849999987, 0.3000798120010586, 0.6655014630014193, 0.2982186820008792, 0.2826203090007766, 0.2929658289976942]"
2,Merge Sort,"[0.2250869169984071, 0.2646673050003301, 0.22685448300035205, 0.22456073600187665, 0.22869758900196757, 0.22704588700071326, 0.2674652019995847, 0.2631151540008432, 0.22529199900236563, 0.22383908100164263]"
2,std::sort,"[0.21245619700130192, 0.21329451000201516, 0.21025969200127292, 0.2100448819983285, 0.20988366099845734, 0.210618141998566, 0.21314055299808388, 0.20998664299986558, 0.21380765700087068, 0.21033776799959014]"
2,Numpy Sort,"[0.013635834002343472, 0.014413384000363294, 0.01352727099947515, 0.01347083700238727, 0.013637547999678645, 0.013756629999988945, 0.013584177002485376, 0.013550804997066734, 0.013569349997851532, 0.013385666999965906]"
3,Quick Sort,"[0.14480607299992698, 0.14551852400109055, 0.14572087800115696, 0.14579377400150406, 0.145268655000109, 0.14572409699758282, 0.14483979500073474, 0.14472454999850015, 0.14568235600017942, 0.1449361150007462]"
3,Heap Sort,"[0.2856774889987719, 0.45384775499769603, 0.29394307999973535, 0.2962416860027588, 0.5257393699976092, 0.30805474999942817, 0.2856801739981165, 0.3579705499978445, 0.35825875800219364, 0.3695062049991975]"
3,Merge Sort,"[0.26104737499917974, 0.22598864099927596, 0.2240036080002028, 0.279054319998977, 0.27010018800137914, 0.23181362899777014, 0.2259683699994639, 0.2370695790013997, 0.23237200999938068, 0.2311035519996949]"
3,std::sort,"[0.22659337599907303, 0.26404736900076387, 0.2208835689998523, 0.2328637369973876, 0.21270451999953366, 0.21553075999690918, 0.23928343700026744, 0.2222069100025692, 0.21917741899960674, 0.21228351799800294]"
3,Numpy Sort,"[0.013423377000435721, 0.013622576996567659, 0.01354020600047079, 0.014646819003246492, 0.013636515999678522, 0.013480053999955999, 0.013658927000506083, 0.013465445998008363, 0.013872825998987537, 0.013504840000678087]"
4,Quick Sort,"[0.14504533899889793, 0.14393753299737, 0.15732471099909162, 0.14375123599893413, 0.14683667899953434, 0.1440958179991867, 0.14408131199888885, 0.14386943600038649, 0.14490858399949502, 0.14420635699934792]"
