Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024160417000530288, 0.02317374799895333, 0.02410513400172931, 0.023249128000315977, 0.02423852299762075, 0.023209653998492286, 0.02418414200292318, 0.02348250400245888, 0.024127955999574624, 0.026859999998123385]"
0,Heap Sort,"[0.18742380399999092, 0.1880991130019538, 0.20064414299849886, 0.1872225389997766, 0.18758468399755657, 0.18765772099868627, 0.18727827299881028, 0.1873197099994286, 0.18763178199878894, 0.19146417700176244]"
0,Merge Sort,"[0.11042091100171092, 0.10411406200000783, 0.10433809000096517, 0.10480205399653642, 0.1381364869994286, 0.10420399300346617, 0.1043580040022789, 0.10502147399893147, 0.10404507299972465, 0.10427185599837685]"
0,std::sort,"[0.0739818030015158, 0.07396742399942013, 0.07381309599804808, 0.07391239999924437, 0.07432516000335454, 0.07391302199903294, 0.09902345099908416, 0.07405443300012848, 0.09459760900062975, 0.07375345500258845]"
0,Numpy Sort,"[0.012849568000092404, 0.01290736600276432, 0.013294446998770582, 0.01297171600162983, 0.012849276998167625, 0.012904510000225855, 0.012886216001788853, 0.013081750999845099, 0.012805275000573602, 0.012870467002358055]"
1,Quick Sort,"[0.029716257002291968, 0.023441748002369422, 0.0297586560009222, 0.02327233199684997, 0.02973393899810617, 0.02350608699998702, 0.030376106002222514, 0.02340697299950989, 0.029795724996802164, 0.023369683000055375]"
1,Heap Sort,"[0.1874720209998486, 0.18969802399806213, 0.20470582599955378, 0.18741665000197827, 0.18981770699974732, 0.19286176300010993, 0.18714990299849887, 0.18726736200187588, 0.20349424999949406, 0.18853438699807157]"
1,Merge Sort,"[0.10299193999890122, 0.10306870199929108, 0.10410198200042942, 0.10320859399871551, 0.11371312999835936, 0.11214767999990727, 0.11370159800208057, 0.10311834599997383, 0.10321568699873751, 0.10313911399862263]"
1,std::sort,"[0.0646496700028365, 0.05913050999879488, 0.05931328999940888, 0.05919820599956438, 0.05903338799907942, 0.059362211999541614, 0.05939819900231669, 0.059219155002210755, 0.05916567500025849, 0.05905373600035091]"
1,Numpy Sort,"[0.013001590999920154, 0.013056444000540068, 0.012954113000887446, 0.012907174997963011, 0.013918220000050496, 0.013100105999910738, 0.013013314001000253, 0.012955625999893527, 0.012938845000462607, 0.012871078000898706]"
2,Quick Sort,"[0.14367771899924264, 0.14262646899805986, 0.14281763499820954, 0.14273431999754393, 0.1426519160013413, 0.14304536000054213, 0.1430458210015786, 0.14469391599777737, 0.14723976800087257, 0.1427938009983336]"
2,Heap Sort,"[0.27979967899955227, 0.28457384100329364, 0.27996322699982557, 0.29226127400033874, 0.28093383500163327, 0.2816990210012591, 0.2800568890015711, 0.30932603999826824, 0.2904295189982804, 0.2945286850008415]"
2,Merge Sort,"[0.22467106199837872, 0.22351698999773362, 0.22351581499970052, 0.22570774499763502, 0.223686566001561, 0.22343071900104405, 0.223607987001742, 0.22369520000211196, 0.22343368499787175, 0.22895491899907938]"
2,std::sort,"[0.2102076549999765, 0.20964995499889483, 0.21117374599998584, 0.21060665900222375, 0.21422382300079335, 0.2253105339987087, 0.2103475959993375, 0.2205800839983567, 0.2101694730008603, 0.21018355900014285]"
2,Numpy Sort,"[0.013578537997091189, 0.013542078999307705, 0.013546728998335311, 0.01356493099956424, 0.013492957001290051, 0.01561862100061262, 0.0136482670022815, 0.013512453999283025, 0.01359662200047751, 0.013446169999951962]"
3,Quick Sort,"[0.14633625500209746, 0.1449929720001819, 0.14498873300181003, 0.1502812519975123, 0.14473019200158888, 0.1476635709987022, 0.14478861799943843, 0.1482230560031894, 0.1451108680012112, 0.1448397459971602]"
3,Heap Sort,"[0.28413363300205674, 0.2894607529997302, 0.28473050400134525, 0.2817103519992088, 0.28134034300092026, 0.2813079219995416, 0.2938068559997191, 0.2790905980000389, 0.2816595149997738, 0.28215665700190584]"
3,Merge Sort,"[0.2254547160009679, 0.22347034300037194, 0.2233470130013302, 0.22482636199856643, 0.22354417099995771, 0.2338586320001923, 0.23206371599735576, 0.22964635899916175, 0.22364088099857327, 0.22353132699936396]"
3,std::sort,"[0.21114945099907345, 0.26763875799952075, 0.21110670000052778, 0.21750689100008458, 0.2141499749996001, 0.21141299100054312, 0.21086603200092213, 0.21452224200038472, 0.21133317400017404, 0.21117203299945686]"
