Data set #,Algorithm,Runtime
3,Numpy Sort,"[0.013346965002710931, 0.013360220000322443, 0.013493067999661434, 0.01702578500044183, 0.013360559998545796, 0.013281252999149729, 0.013351223999052308, 0.013420413000858389, 0.01332966299742111, 0.013484050999977626]"
4,Quick Sort,"[0.14445261299988488, 0.14378273500187788, 0.14794758999778423, 0.14368436099903192, 0.14374063599825604, 0.1438156660005916, 0.1444212249989505, 0.14515694700094173, 0.14369223500034423, 0.14365520700084744]"
4,Heap Sort,"[0.2820560469990596, 0.2796386789996177, 0.28124612699684803, 0.2815264999990177, 0.2815490619977936, 0.28297655300048064, 0.28148132499700296, 0.27921249700011685, 0.2956228020011622, 0.28979996600173763]"
4,Merge Sort,"[0.22507368299920927, 0.22362696600248455, 0.22334718400088605, 0.22476131000075839, 0.22366981500090333, 0.23795375800182228, 0.22481322699968587, 0.22348804600187577, 0.22386579100202653, 0.22370677399885608]"
4,std::sort,"[0.20728538599723834, 0.22107175099881715, 0.20847904200127232, 0.20744959200237645, 0.23380796800120152, 0.20838939399982337, 0.2075663200012059, 0.224953357999766, 0.20791837599972496, 0.20742755100218346]"
4,Numpy Sort,"[0.013304115000210004, 0.013311408998561092, 0.014192983002430992, 0.013284338998346357, 0.013201093999668956, 0.013405104000412393, 0.016442297001049155, 0.01335496100000455, 0.01326992200120003, 0.013280791998113273]"
5,Quick Sort,"[0.14617417399858823, 0.14172630100074457, 0.14206845800072188, 0.14225569799964433, 0.1508598090003943, 0.14191910999943502, 0.14154004300144152, 0.1446410169992305, 0.14192380899839918, 0.14162137500170502]"
5,Heap Sort,"[0.30895527100074105, 0.27970520300004864, 0.28367511499891407, 0.2924017260011169, 0.2953505139994377, 0.2791355310000654, 0.28233127999919816, 0.2826988659980998, 0.4052942889975384, 0.4060843759980344]"
5,Merge Sort,"[0.25826093300202047, 0.28637931500270497, 0.22381766699982109, 0.22379434699905687, 0.22584466999978758, 0.2251223029998073, 0.22506069800147088, 0.23805957799777389, 0.24165355500008445, 0.4063217520015314]"
5,std::sort,"[0.50830545899953, 0.2872235719987657, 0.2769253730002674, 0.20987138800046523, 0.21442947600007756, 0.21741519400165998, 0.21009029600099893, 0.21718844999850262, 0.2111988830001792, 0.21077241800230695]"
5,Numpy Sort,"[0.013447623001411557, 0.01359724199937773, 0.013426593999611214, 0.013495322000380838, 0.013603643998067128, 0.013513957001123345, 0.01369956300186459, 0.013402920001681196, 0.013481385998602491, 0.013486275001923786]"
6,Quick Sort,"[0.14489850800237036, 0.1838738350015774, 0.14354343800005154, 0.24572211200211314, 0.16319003999888082, 0.15064016000178526, 0.14582492200133856, 0.18313493900132016, 0.17491645399786648, 0.29415423099999316]"
6,Heap Sort,"[0.28072278299805475, 0.47012318999986746, 0.3329837919991405, 0.3028879910016258, 0.321686518000206, 0.29790084999694955, 0.2811963240019395, 0.3190321690017299, 0.2936393029995088, 0.30905360099859536]"
6,Merge Sort,"[0.24325738599873148, 0.22332539199851453, 0.22707981300118263, 0.2292023310001241, 0.2235018220017082, 0.2240526690002298, 0.22607797700038645, 0.22525752499859664, 0.22631978299978073, 0.22922610200112103]"
6,std::sort,"[0.20972448400061694, 0.21437358199909795, 0.22074688499924378, 0.20966170700194198, 0.2129911340016406, 0.23175496999829193, 0.20986442499997793, 0.2136857900004543, 0.20952514199962025, 0.25758807599777356]"
6,Numpy Sort,"[0.013566865000029793, 0.01346149900200544, 0.014127500999165932, 0.01343157299925224, 0.013453553998260759, 0.013451310001983074, 0.013358706997678382, 0.013406888003373751, 0.018712560002313694, 0.013430139999400126]"
7,Quick Sort,"[0.1418936819973169, 0.14185575200099265, 0.14184184599798755, 0.14205127700188314, 0.14169728600245435, 0.14721500399900833, 0.23680129899730673, 0.1582981790015765, 0.16681811200032826, 0.14278106699930504]"
7,Heap Sort,"[0.28270746099951793, 0.29110027299975627, 0.28181289399799425, 0.345423386002949, 0.29989962599938735, 0.2839285480004037, 0.33258233399828896, 0.2977688370010583, 0.33513981199939735, 0.3258214080015023]"
7,Merge Sort,"[0.229065677998733, 0.2245224030011741, 0.2764443560008658, 0.22564928300198517, 0.22428113500063773, 0.22572159800256486, 0.23337350800284185, 0.23682074200041825, 0.22500941299949773, 0.228862105999724]"
7,std::sort,"[0.2891832080022141, 0.21221515800061752, 0.21111823200044455, 0.22204511500240187, 0.21268366100048297, 0.21131985899774008, 0.21514729499904206, 0.21605130299940356, 0.2119287829991663, 0.2154495280010451]"
7,Numpy Sort,"[0.013307432000146946, 0.013390968000749126, 0.01318118600102025, 0.013160246999177616, 0.01920892500129412, 0.018780818001687294, 0.02195315399876563, 0.013197677002608543, 0.01708796000093571, 0.013345844003197271]"
8,Quick Sort,"[0.14451061200088589, 0.1447067600020091, 0.14470208900092985, 0.14280729600068298, 0.14707466599793406, 0.14317250700332806, 0.15217151300021214, 0.14281583100091666, 0.15640354599963757, 0.14281023100193124]"
8,Heap Sort,"[0.31883956200181274, 0.28491351500269957, 0.27986516099917935, 0.2844626940022863, 0.2953338639999856, 0.3859954799991101, 0.28373299600207247, 0.28410419300053036, 0.3029117320002115, 0.28218703099992126]"
8,Merge Sort,"[0.22603609499856248, 0.22351623899885453, 0.2275875970008201, 0.22507225899971672, 0.22331607500018436, 0.22399595299793873, 0.2257530390015745, 0.2233840750013769, 0.23852792799880262, 0.23476408700298634]"
8,std::sort,"[0.20992978899812442, 0.23636143900148454, 0.2505246159998933, 0.2095429350010818, 0.2540046350004559, 0.20922943099867553, 0.2244625659986923, 0.2093374039977789, 0.224588858000061, 0.28606728600061615]"
8,Numpy Sort,"[0.013447763998556184, 0.01351110200266703, 0.013376038998103468, 0.013347666998015484, 0.01336510900000576, 0.013334453000425128, 0.01334462099839584, 0.013341515998035902, 0.013399624000157928, 0.013376912000239827]"
9,Quick Sort,"[0.15320183399671805, 0.14527506699960213, 0.15588725400084513, 0.14518474800206604, 0.14502808600082062, 0.19741763699857984, 0.14504178300194326, 0.1450635629989847, 0.14516667399948346, 0.1451042589978897]"
9,Heap Sort,"[0.2802146329995594, 0.2882801619998645, 0.28062428700286546, 0.28156847699938226, 0.3080493019988353, 0.30256051100150216, 0.3109540069999639, 0.28122165099921403, 0.28097389200047473, 0.29223860499769216]"
9,Merge Sort,"[0.2240763199988578, 0.22599820599862142, 0.2232998450017476, 0.22373236199928215, 0.2259451470017666, 0.2233333379990654, 0.2242606670006353, 0.23302969699943787, 0.22360415500224917, 0.2236240420024842]"
9,std::sort,"[0.22015422000185936, 0.20946083199669374, 0.2123553589990479, 0.20856550199823687, 0.20964694899885217, 0.2119572670017078, 0.2084780969998974, 0.20917447799729416, 0.2122865310011548, 0.20862874100203044]"
9,Numpy Sort,"[0.013359329001104925, 0.013371431999985361, 0.013454706000629812, 0.013373404999583727, 0.013353187998291105, 0.013354219001485035, 0.013478090000717202, 0.01336209399960353, 0.013264370998513186, 0.013390477000939427]"
