Data set #,Algorithm,Runtime
6,Numpy Sort,"[0.01367546799883712, 0.013501813999027945, 0.013578396999946563, 0.013455928998155287, 0.01937065699894447, 0.016119996002089465, 0.015223964997858275, 0.013398171002336312, 0.013548901999456575, 0.013504899998224573]"
7,Quick Sort,"[0.14298701100051403, 0.15473600499899476, 0.15016510500208824, 0.15206963599848677, 0.14187975599998026, 0.1451712130001397, 0.14288906799993129, 0.15202670500002569, 0.14420428100129357, 0.14235693700175034]"
7,Heap Sort,"[0.3056556109986559, 0.29329740699904505, 0.2950817239980097, 0.29612012000143295, 0.2946303919998172, 0.29217409099874203, 0.3000694319998729, 0.30803898299927823, 0.3102074150010594, 0.32715819999793894]"
7,Merge Sort,"[0.22672337000039988, 0.22758492499997374, 0.22553184700154816, 0.22906947299998137, 0.24451476100148284, 0.22811954100325238, 0.25955582700044033, 0.22581679900031304, 0.23580827000114368, 0.24613548300112598]"
7,std::sort,"[0.2602972100030456, 0.24301586599904113, 0.4013914189999923, 0.21757046000129776, 0.2236651070015796, 0.37364875200000824, 0.21565369899690268, 0.22706742999798735, 0.21680664899758995, 0.23583087000224623]"
7,Numpy Sort,"[0.013593514999229228, 0.013334924002265325, 0.01577876000010292, 0.013417286998446798, 0.013677541999641107, 0.01336187400011113, 0.013539083996874979, 0.013397228998655919, 0.015169583999522729, 0.013358667001739377]"
8,Quick Sort,"[0.14690628800235572, 0.15130117199805682, 0.15272812400144176, 0.14561478000177885, 0.14449214799969923, 0.14388212999983807, 0.15337921699756407, 0.14522678600042127, 0.14895826499923714, 0.15713722700093058]"
8,Heap Sort,"[0.29945253299956676, 0.3426463890027662, 0.29053045700129587, 0.2915008969976043, 0.3021918900012679, 0.292383673000586, 0.3091830179982935, 0.3170212500008347, 0.2929124580005009, 0.3014318630011985]"
8,Merge Sort,"[0.2240522480024083, 0.2236676409993379, 0.2270318029986811, 0.22905920400080504, 0.2338211919995956, 0.2234680789988488, 0.22645048000049428, 0.22748513899932732, 0.2274478489998728, 0.224875792999228]"
8,std::sort,"[0.29573593299937784, 0.2375703629986674, 0.2305690989996947, 0.20921633599937195, 0.21938299300018116, 0.23915161400145735, 0.24663741800031858, 0.2099551640021673, 0.21754445399710676, 0.2179340709990356]"
8,Numpy Sort,"[0.014364082002430223, 0.013432494000880979, 0.013442252999084303, 0.01349038399712299, 0.013504690003173891, 0.01343991900284891, 0.013449496000248473, 0.013428989001113223, 0.013517864001187263, 0.01762230700114742]"
9,Quick Sort,"[0.14988595400063787, 0.14500874000077602, 0.14495665299909888, 0.15640809199976502, 0.3013489990007656, 0.16421898800035706, 0.5983198950016231, 0.2664794140000595, 0.34591557400199235, 0.16998115200112807]"
9,Heap Sort,"[0.47888914500072133, 0.9158356369989633, 0.7286548629999743, 0.5370424119973904, 0.4295219189989439, 0.6546083649991488, 0.5084332269980223, 0.3408584639983019, 0.3923068410003907, 0.3125806600000942]"
9,Merge Sort,"[0.23322680500132265, 0.2476416680001421, 0.24557011799697648, 0.24444730199684273, 0.23963418399944203, 0.23168172300211154, 0.3007181830034824, 0.2746250689997396, 0.2449129359993094, 0.23283394199825125]"
9,std::sort,"[0.23603212500165682, 0.3316854489967227, 0.26260007100063376, 0.21144623600048362, 0.21157039500030805, 0.23824607300048228, 0.21311830400009057, 0.20927890299935825, 0.25175992899676203, 0.21219418900000164]"
9,Numpy Sort,"[0.01356311800191179, 0.013534935998904984, 0.013463061997754266, 0.013455819000228075, 0.013531028002034873, 0.013827922000928083, 0.02583249500094098, 0.013455096999678062, 0.013406219000899, 0.013373254998441553]"
