Data set #,Algorithm,Runtime
0,Quick Sort,"[0.02425822999794036, 0.02334433600117336, 0.024297652998939157, 0.023770009000145365, 0.024118438999721548, 0.023349285998847336, 0.028884344999823952, 0.023276850002730498, 0.024353045999305323, 0.02328913200108218]"
0,Heap Sort,"[0.2157866039997316, 0.19081841399747645, 0.1889537159986503, 0.20715172899872414, 0.25124080200112076, 0.19405804300185991, 0.208014493000519, 0.18804564400124946, 0.21315429899914307, 0.25135479399978067]"
0,Merge Sort,"[0.11940177600263269, 0.10558152799785603, 0.10404258800190291, 0.12166982399867265, 0.10912465500223334, 0.10461302199837519, 0.10409258200161275, 0.10395743000117363, 0.10678254699814715, 0.1058131499994488]"
0,std::sort,"[0.07514348599943332, 0.07792225699813571, 0.10643297800197615, 0.09018995000224095, 0.10628573799840524, 0.07772631099942373, 0.09000824100075988, 0.07402860699949088, 0.08731714399982593, 0.07549051300156862]"
0,Numpy Sort,"[0.01611442600187729, 0.013335293999261921, 0.012842945998272626, 0.017544532001920743, 0.012846822999563301, 0.015020696002466138, 0.01731858100174577, 0.012854294000135269, 0.012869325000792742, 0.012795596998330439]"
1,Quick Sort,"[0.029808679002599092, 0.024641402000270318, 0.029802607001329307, 0.023371175997453975, 0.032008133002818795, 0.0234508649991767, 0.029863861000194447, 0.025404406998859486, 0.030197683998267166, 0.02335054699869943]"
1,Heap Sort,"[0.18751306099875364, 0.19817441900158883, 0.20722905100046773, 0.19983176900132094, 0.2407839339975908, 0.18742366299920832, 0.18992645999969682, 0.20193485999698169, 0.18752129499989678, 0.1901120090005861]"
1,Merge Sort,"[0.11953845799871488, 0.10471986400079913, 0.10336874200220336, 0.10315839999748277, 0.1054432499986433, 0.1037951369980874, 0.34736654899825226, 0.26915075500073726, 0.6132683139985602, 0.43050191599832033]"
1,std::sort,"[0.3095108569978038, 0.3376076330023352, 0.6210584210020897, 0.340990991997387, 0.11064903700025752, 0.2367166210024152, 0.1373741749994224, 0.2333771550001984, 0.15624974900129018, 0.2485562360016047]"
1,Numpy Sort,"[0.038934694002819015, 0.03495927300173207, 0.019111464000161504, 0.02045014900068054, 0.026062543998705223, 0.09228729999813368, 0.020139118998486083, 0.029808106999553274, 0.020634152002457995, 0.01959158799945726]"
2,Quick Sort,"[0.18055799300054787, 0.28173337200132664, 0.2050747510002111, 0.174255832000199, 0.14287389000310213, 0.16369662400029483, 0.1672546779991535, 0.150217585000064, 0.14285144099994795, 0.14291690000027302]"
2,Heap Sort,"[0.3320877890000702, 0.3808573960013746, 0.3080657999998948, 0.3064004579973698, 0.28505889599910006, 0.29520348100049887, 0.5040322540007764, 0.2843009730022459, 0.3115095300017856, 0.2867682430005516]"
2,Merge Sort,"[0.24388229400210548, 0.23083969300205354, 0.22852095999769517, 0.228426607001893, 0.2406186259977403, 0.22352174899788224, 0.23882730600234936, 0.23371231999772135, 0.2239330960001098, 0.22352367299754405]"
2,std::sort,"[0.2651304209975933, 0.25372153599892044, 0.23349636399871088, 0.23684144399885554, 0.21374998900137143, 0.21127252199948998, 0.21019774600063101, 0.22986326300087967, 0.2381518149995827, 0.21081747399875894]"
2,Numpy Sort,"[0.013470285000948934, 0.013556646998040378, 0.01675228500243975, 0.013563438998971833, 0.013906668998970417, 0.013677652001206297, 0.013622178998048184, 0.014276598998549161, 0.013426003002678044, 0.01509822100342717]"
3,Quick Sort,"[0.14676968400090118, 0.14547257500089472, 0.14478165699983947, 0.14525588099786546, 0.14569736499834107, 0.15143615399938426, 0.1655874899988703, 0.14768838699819753, 0.1450284370002919, 0.14562375700188568]"
3,Heap Sort,"[0.2887844020006014, 0.285856643000443, 0.3236545979998482, 0.31122473900177283, 0.2894535400009772, 0.3057186959995306, 0.28620843599856016, 0.2967798190002213, 0.28478930400160607, 0.31037554899739916]"
3,Merge Sort,"[0.24005707899777917, 0.24128664399904665, 0.251532063997729, 0.22531460199752473, 0.22718519999762066, 0.2237415189993044, 0.22512729300069623, 0.23616096499972627, 0.22348276599950623, 0.22551568600101746]"
3,std::sort,"[0.21546376499827602, 0.21517293299984885, 0.21756135599935078, 0.22628722499939613, 0.24156634300015867, 0.2472595490035019, 0.23890033300267532, 0.2116135860014765, 0.22758747999978368, 0.22377909799979534]"
3,Numpy Sort,"[0.013541378000809345, 0.017788176999602, 0.01807531199665391, 0.013567276000685524, 0.013435160002700286, 0.013505482002074132, 0.013635713999974541, 0.01349683499938692, 0.01346078799906536, 0.013478831999236718]"
4,Quick Sort,"[0.14955965599801857, 0.14486481100175297, 0.14427153800352244, 0.14515799900254933, 0.1442841900025087, 0.16831367300255806, 0.1438474850001512, 0.15113361300245742, 0.15148095800032024, 0.14414674299769104]"
4,Heap Sort,"[0.28502085500076646, 0.2864071090007201, 0.28673264700046275, 0.30062533199816244, 0.2867704960008268, 0.2847064480010886, 0.2840902699972503, 0.2952687720026006, 0.29714235500068753, 0.28674699300245265]"
4,Merge Sort,"[0.22354740700029652, 0.25865396299923304, 0.23889149599926895, 0.23200220099897706, 0.24367298099969048, 0.22430943499784917, 0.2243174459981674, 0.2437697749992367, 0.2698963149996416, 0.3432226400000218]"
4,std::sort,"[0.20885043399903225, 0.2166080460010562, 0.212630624002486, 0.21870992699768976, 0.23715688399897772, 0.22955165800158284, 0.2358137169976544, 0.22879913799988572, 0.20808554999894113, 0.22371459100031643]"
4,Numpy Sort,"[0.013436541998089524, 0.013388643001235323, 0.013437253997835796, 0.013227231997007038, 0.015106006001587957, 0.015545346999715548, 0.013332017002539942, 0.013326918000529986, 0.013427625999611337, 0.013443525996990502]"
5,Quick Sort,"[0.25472404600077425, 0.2272944930009544, 0.29153491300166934, 0.17142349099958665, 0.18659499600107665, 0.21211106299961102, 0.18558928300262778, 0.2960960039999918, 0.17146122900157934, 0.17914233099872945]"
5,Heap Sort,"[0.2968635079996602, 0.3017938060002052, 0.31237396500000614, 0.29905768599928706, 0.29126712099969154, 0.32185126599870273, 0.3665171949978685, 0.2933569050001097, 0.3101902460002748, 0.2922221310000168]"
5,Merge Sort,"[0.23207550999723026, 0.24935301200093818, 0.22529414299788186, 0.23203962000116007, 0.22365642300064792, 0.22617731699938304, 0.2299748000004911, 0.2295158380002249, 0.22930887600159622, 0.26261680999959935]"
5,std::sort,"[0.23975967500155093, 0.2300780110017513, 0.22242809000090347, 0.21072101200115867, 0.2163399679993745, 0.21017611600109376, 0.21028282400220633, 0.2686470160006138, 0.2181997159968887, 0.22540785599994706]"
5,Numpy Sort,"[0.013402137999946717, 0.013463572999171447, 0.013457451997965109, 0.013495752999006072, 0.013468081000610255, 0.015089734999492066, 0.013496895997377578, 0.01782341199941584, 0.018697592000535224, 0.013526683000236517]"
6,Quick Sort,"[0.1508477879979182, 0.14675858999908087, 0.14426327099863556, 0.1434213329994236, 0.14231302500047605, 0.142329427999357, 0.14640797700121766, 0.1422415209999599, 0.1437467369978549, 0.14994548599861446]"
6,Heap Sort,"[0.3130417930005933, 0.2951474679975945, 0.3125766430021031, 0.29189244500230416, 0.30148089499925845, 0.33279376800055616, 0.30725849400187144, 0.2987454020003497, 0.3042138399978285, 0.2869911889974901]"
6,Merge Sort,"[0.22362137399977655, 0.2268336540000746, 0.23580161800055066, 0.22865786799957277, 0.23026685800141422, 0.22806183099964983, 0.22933889299747534, 0.23189764600101626, 0.22408498900040286, 0.236577882002166]"
6,std::sort,"[0.22825120899869944, 0.2195953209993604, 0.2138886979992094, 0.23127454399946146, 0.2101381249995029, 0.23855294400345883, 0.22174773200094933, 0.21068501199988532, 0.23653749699951732, 0.21415698800046812]"
