Data set #,Algorithm,Runtime
2,std::sort,"[0.22114553500068723, 0.47420059500291245, 0.223533602002135, 0.2289008379993902, 0.2142667829975835, 0.21081313099784893, 0.23562199699881603, 0.2265986559978046, 0.2292350420029834, 0.21851329099808936]"
2,Numpy Sort,"[0.014029581001523184, 0.013639370998134837, 0.014773735998460324, 0.013453174000460422, 0.01366351499746088, 0.014451645001827274, 0.013444357002299512, 0.01347976299803122, 0.013574911001342116, 0.014653021000412991]"
3,Quick Sort,"[0.14486380000016652, 0.1447003049979685, 0.1458586849985295, 0.1635695869990741, 0.14564001700273366, 0.15219307300139917, 0.14977432600062457, 0.145197993999318, 0.14721538500089082, 0.14903720099755446]"
3,Heap Sort,"[0.345029414002056, 0.3110075680015143, 0.28870348800046486, 0.2918876479998289, 0.2831867050008441, 0.2817391860007774, 0.6380930410014116, 0.5801375040027779, 0.3447247130025062, 0.28100877399992896]"
3,Merge Sort,"[0.23896811200029333, 0.23744214399994235, 0.2370332819991745, 0.24176141700081644, 0.36742660899835755, 0.3486402039998211, 0.3725749330005783, 0.397918614999071, 0.2296477310010232, 0.23155863400097587]"
3,std::sort,"[0.21910246900006314, 0.2203744229991571, 0.30386942800032557, 0.24798714499775087, 0.2341667359978601, 0.21118483700047364, 0.2124383940026746, 0.24362264799856348, 0.2228178260011191, 0.23517334300049697]"
3,Numpy Sort,"[0.015372060999652604, 0.013532831999327755, 0.013291070998093346, 0.01327917900198372, 0.013431053001113469, 0.013485010000295006, 0.0134178280022752, 0.013403601002210053, 0.013329763001820538, 0.013484802999300882]"
4,Quick Sort,"[0.1439206210015982, 0.1436797820024367, 0.19810808499823906, 0.1495979270002863, 0.1437873530012439, 0.15075941499890178, 0.1448262199992314, 0.14379674100200646, 0.14375246800045716, 0.14399165400027414]"
4,Heap Sort,"[0.29298536500209593, 0.280548398000974, 0.392728356000589, 0.31931769200309645, 0.2962565939997148, 0.28662171000178205, 0.3058696379994217, 0.33694190200185403, 0.2832388729984814, 0.3399292920003063]"
4,Merge Sort,"[0.23265821400127606, 0.22731441799987806, 0.22368012399965664, 0.22525692400085973, 0.34779178200187744, 0.22593868500189274, 0.24575803100015037, 0.2478555529996811, 0.22996669499843847, 0.22357175200158963]"
4,std::sort,"[0.21301098199910484, 0.2075120789995708, 0.2904924239992397, 0.2673670010008209, 0.2070977559997118, 0.20817962599903694, 0.2162311559986847, 0.20770339500086266, 0.21472560799884377, 0.2224271459999727]"
4,Numpy Sort,"[0.013472520000505028, 0.01343169300162117, 0.013367663999815704, 0.013382532000832725, 0.013318372999492567, 0.013901900001656031, 0.013447953999275342, 0.013316388998646289, 0.01333495399740059, 0.01963241599878529]"
5,Quick Sort,"[0.14213813100286643, 0.14749648900033208, 0.1441721979972499, 0.14173280300019542, 0.15159279699946637, 0.14594208099879324, 0.14172253099968657, 0.14218333500321023, 0.1448016340000322, 0.14726139000049443]"
5,Heap Sort,"[0.28445846600152436, 0.28447533500002464, 0.28172499900028924, 0.3178962810015946, 0.29258436700183665, 0.2811980049991689, 0.28155207699819584, 0.28167558000131976, 0.28450580400021863, 0.3306485409993911]"
5,Merge Sort,"[0.23375956699965172, 0.24709870900187525, 0.22404625699709868, 0.22526034100155812, 0.225178735996451, 0.22445693500048947, 0.23770880400115857, 0.22362093400079175, 0.23455652999837184, 0.2236257030017441]"
5,std::sort,"[0.22328550900056143, 0.21481020599821932, 0.20950061599796754, 0.20966323999891756, 0.2375010329997167, 0.2766229059998295, 0.21575446399947396, 0.2132134590028727, 0.21255305999875418, 0.21155486600036966]"
5,Numpy Sort,"[0.013498108000931097, 0.01359343500007526, 0.013434759002848295, 0.015699311999924248, 0.01347918200190179, 0.013436140998237533, 0.013498287000402343, 0.01785948900214862, 0.01782200899833697, 0.01354352199996356]"
6,Quick Sort,"[0.1423879419999139, 0.14305433699701098, 0.1453225850018498, 0.1431923240015749, 0.14238875500086579, 0.14345413200135226, 0.1423450939983013, 0.14597399000194855, 0.2659381970006507, 0.14819978400191758]"
6,Heap Sort,"[0.34086438300073496, 0.4758601670000644, 0.2996423369986587, 0.3981271349985036, 0.41441856100209407, 0.45164549100081786, 0.2834239680014434, 0.29875889899994945, 0.32629373899908387, 0.38969740600077785]"
6,Merge Sort,"[0.23610950899819727, 0.23337585499757552, 0.3626336220004305, 0.29027833999862196, 0.26538966199950664, 0.29539228300200193, 0.22685647700200207, 0.2738680309994379, 0.2889865259967337, 0.2297125719996984]"
6,std::sort,"[0.30813427999964915, 0.21997121900130878, 0.2775731080000696, 0.35723500899985083, 0.21211029199912446, 0.22248402399782208, 0.24881474100038758, 0.22577174400066724, 0.21286004000285175, 0.26185947799967835]"
6,Numpy Sort,"[0.013555254001403227, 0.014590234000934288, 0.013493299000401748, 0.01347988300040015, 0.013549053001042921, 0.01385479199961992, 0.013532862001738977, 0.013591351002105512, 0.017445146997488337, 0.018573632998595713]"
7,Quick Sort,"[0.1521345669971197, 0.14197998400049983, 0.1418269550013065, 0.14199147500039544, 0.1574485340024694, 0.14280315799987875, 0.14631364299930283, 0.14188411500072107, 0.14197578500170493, 0.14260845500029973]"
7,Heap Sort,"[0.28717657399829477, 0.33797445699747186, 0.5463891489998787, 0.3468850419994851, 0.3051701639997191, 0.2847186409999267, 0.2869263270004012, 0.2863674649997847, 0.3192448859990691, 0.2829156499974488]"
7,Merge Sort,"[0.2480931319987576, 0.22406686499743955, 0.22519039000326302, 0.23947736799891572, 0.2240970210004889, 0.22586058999877423, 0.2239076980004029, 0.23511683799733873, 0.22517431999949622, 0.22451923900007387]"
7,std::sort,"[0.2149114349995216, 0.21419963799780817, 0.2567240550015413, 0.2242215340011171, 0.22526741399997263, 0.21120634399994742, 0.21421202100100345, 0.21126280200041947, 0.211244047000946, 0.21402271800252493]"
7,Numpy Sort,"[0.013417988000583136, 0.013255504996777745, 0.013354710001294734, 0.013287976002175128, 0.013242551001894753, 0.015599103997374186, 0.013726994002354331, 0.013285130000440404, 0.013321377999091055, 0.013268238999444293]"
8,Quick Sort,"[0.1586141490006412, 0.14283580900155357, 0.21088773299925379, 0.14454743999885977, 0.15580837599918596, 0.14268122999783373, 0.1756669829992461, 0.1526582429978589, 0.14944880099938018, 0.1816132399981143]"
8,Heap Sort,"[0.40038838799955556, 0.2868630290031433, 0.28304008199847885, 0.34393078299763147, 0.3312902249999752, 0.35416287100088084, 0.2967944260017248, 0.2920670620005694, 0.3208464110030036, 0.31165380499805906]"
8,Merge Sort,"[0.2395207389999996, 0.24561851900216425, 0.2389015520020621, 0.23098441299953265, 0.2689228669987642, 0.23739856500105816, 0.22386970800289419, 0.3221670870007074, 0.2498099069998716, 0.23889968099683756]"
8,std::sort,"[0.2962250849996053, 0.2099553840016597, 0.2572957310003403, 0.26084334600091097, 0.2164572239998961, 0.21060789300099714, 0.24386427799981902, 0.2719376610002655, 0.2178072670030815, 0.24085281600127928]"
8,Numpy Sort,"[0.013453725001454586, 0.021581605997198494, 0.016579619998083217, 0.018723028999374947, 0.03081662800104823, 0.013578026999311987, 0.013785733000986511, 0.013481575999321649, 0.013475996001943713, 0.014282680000178516]"
9,Quick Sort,"[0.14527830299994093, 0.15016684799775248, 0.1650642370004789, 0.14555717400071444, 0.15496894199895905, 0.1450985480005329, 0.1454929430001357, 0.14541055999870878, 0.1596282489990699, 0.14750232999722357]"
9,Heap Sort,"[0.2861194159995648, 0.28367315200011944, 0.28534986799786566, 0.29801651500019943, 0.28695404999962193, 0.34453118999954313, 0.28659620199687197, 0.28240176100007375, 0.3667357329977676, 0.3055858879997686]"
9,Merge Sort,"[0.22348197500105016, 0.24445428800027003, 0.223952623000514, 0.2299413589971664, 0.226524066998536, 0.22878656499960925, 0.22916784599874518, 0.2241795150002872, 0.2235020420012006, 0.22551675800059456]"
9,std::sort,"[0.20833968200167874, 0.20852041900070617, 0.21309686099993996, 0.228088514002593, 0.22829709199868375, 0.2223875540003064, 0.20888724199903663, 0.2095837510023557, 0.21027457699892693, 0.21289057700050762]"
9,Numpy Sort,"[0.013352325000596466, 0.013503637001122115, 0.017631634000281338, 0.014966314996854635, 0.01343811499828007, 0.013363977999688359, 0.015028901998448418, 0.013436883000395028, 0.013853489999746671, 0.0136439199995948]"
