Data set #,Algorithm,Runtime
0,Quick Sort,"[0.02429486800247105, 0.023302097000851063, 0.02424484499715618, 0.034551360997284064, 0.02419036299761501, 0.023799545000656508, 0.024226530000305502, 0.035766730001341784, 0.024192045999370748, 0.02320778099965537]"
0,Heap Sort,"[0.18744864000109374, 0.1879270519966667, 0.18773394500021823, 0.20631968299858272, 0.21023565999712446, 0.18728591699982644, 0.18865632899905904, 0.18809401299949968, 0.18833163599992986, 0.1905835850011499]"
0,Merge Sort,"[0.1100046450010268, 0.10640358099772129, 0.10404182700222009, 0.1166425209994486, 0.10415482800090103, 0.10480439900129568, 0.10411683699931018, 0.10703885499970056, 0.10422728300181916, 0.10410809099994367]"
0,std::sort,"[0.07408799800032284, 0.07388211400029832, 0.10025956499885069, 0.07423553299668129, 0.07527197500166949, 0.07383404400025029, 0.11227380600030301, 0.07471551799972076, 0.07405581800048822, 0.0740496760008682]"
0,Numpy Sort,"[0.012932032001117477, 0.013220399003330385, 0.012869244001194602, 0.012914930997794727, 0.012947110000823159, 0.0127830540004652, 0.013191374997404637, 0.015210379999189172, 0.012852313000621507, 0.013015317999816034]"
1,Quick Sort,"[0.029685589001019252, 0.030919970999093493, 0.02994904000297538, 0.02343842099799076, 0.029779174001305364, 0.03196337600093102, 0.029782920999423368, 0.023551302001578733, 0.029846749999705935, 0.023413986000377918]"
1,Heap Sort,"[0.1945836410013726, 0.1879614869976649, 0.19219256499854964, 0.18691456399756134, 0.2107936600004905, 0.2561865409988968, 0.1928749280014017, 0.19056272400121088, 0.19167260600079317, 0.18779140900005586]"
1,Merge Sort,"[0.10322668699882342, 0.11427035800079466, 0.10390750700025819, 0.10305910500028403, 0.1032205060000706, 0.10648922000109451, 0.10312432600039756, 0.10332650300188106, 0.10368840799856116, 0.10632454299775418]"
1,std::sort,"[0.05977410999912536, 0.06052044099851628, 0.05931880100251874, 0.05940390999967349, 0.05924330999914673, 0.059354688000894384, 0.07506102200204623, 0.08511750500110793, 0.10569262499848264, 0.05943214199942304]"
1,Numpy Sort,"[0.012991263000003528, 0.012823500001104549, 0.012790418000804493, 0.015026056000351673, 0.01352939500065986, 0.012832787000661483, 0.012861088998761261, 0.012839148999773897, 0.012825402998714708, 0.012913116002891911]"
2,Quick Sort,"[0.14287685499948566, 0.149142064001353, 0.1449725659986143, 0.1483826309995493, 0.14272604200232308, 0.1433671900012996, 0.15197855600126786, 0.166944151998905, 0.14459014000021853, 0.14887361699948087]"
2,Heap Sort,"[0.3555227790020581, 0.3008552579995012, 0.31780221900044126, 0.28627063499880023, 0.283534021997184, 0.28057117099888274, 0.2846800190018257, 0.2811762759993144, 0.2813173690010444, 0.28152972599855275]"
2,Merge Sort,"[0.22502180599985877, 0.22680513800150948, 0.23272327599988785, 0.2254601129970979, 0.2259403680000105, 0.24350213200159487, 0.2438424350002606, 0.4219486279980629, 0.39019051200011745, 0.22528681999756373]"
