Data set #,Algorithm,Runtime
5,std::sort,"[0.2156157079989498, 0.21084847900056047, 0.2104630800022278, 0.21494310399793903, 0.22357559900046908, 0.2142694379981549, 0.2138529389994801, 0.2102379639982246, 0.21136298900091788, 0.21378108699718723]"
5,Numpy Sort,"[0.013137114001438022, 0.013141272000211757, 0.013079647000267869, 0.013979473998915637, 0.013015267002629116, 0.013033952000114368, 0.013609534998977324, 0.013009065998630831, 0.013050563000433613, 0.013218816999142291]"
6,Quick Sort,"[0.14743136799734202, 0.14229292700110818, 0.14235080500293407, 0.1433725200004119, 0.14240205999885802, 0.1422925769984431, 0.14248114799920586, 0.14399333700202988, 0.146877545001189, 0.14283422600055928]"
6,Heap Sort,"[0.2909182809999038, 0.3328863979986636, 0.30911701299919514, 0.32059850899895537, 0.2858992289984599, 0.2831803549997858, 0.28788059599901317, 0.2918153130012797, 0.29111849399851053, 0.282329645997379]"
6,Merge Sort,"[0.22563778499898035, 0.2302137659971777, 0.22361483500208124, 0.22548162300154218, 0.22337788000004366, 0.22889179800040438, 0.23076914200282772, 0.22355833699839422, 0.22533570799714653, 0.2235695780000242]"
6,std::sort,"[0.2139480759979051, 0.22753194799952325, 0.2154734119976638, 0.21306891899803304, 0.20949150899832603, 0.24275842499991995, 0.21684121300131665, 0.24265914100033115, 0.21019796600012342, 0.21197247600139235]"
6,Numpy Sort,"[0.01764970799922594, 0.013461678998282878, 0.013000088998524006, 0.01309983499959344, 0.015847340000618715, 0.012992654999834485, 0.012965484998858301, 0.012964541998371715, 0.013006329998461297, 0.013049631001194939]"
7,Quick Sort,"[0.14199895900310366, 0.14179195299948333, 0.14200306599741452, 0.14232644000003347, 0.14185066199934226, 0.14791879699987476, 0.14288968999971985, 0.14180984600170632, 0.1418612720008241, 0.141935370000283]"
7,Heap Sort,"[0.29566967000209843, 0.30141183500018087, 0.28235679700082983, 0.2822890509996796, 0.28379845499875955, 0.29531646100076614, 0.29027000200221664, 0.28264732899697265, 0.37810382899988326, 0.2927422789980483]"
7,Merge Sort,"[0.22680077299810364, 0.22372518900010618, 0.22501659500267124, 0.24800397899889504, 0.24936642699685763, 0.22663195799759706, 0.22349513900189777, 0.22376509199966677, 0.22551809099968523, 0.2234626190002018]"
7,std::sort,"[0.21177520700075547, 0.23212794500068412, 0.2187128430014127, 0.2116804309989675, 0.22495753600014723, 0.2149217439982749, 0.21135665699694073, 0.22978493699702085, 0.24358267199932016, 0.21133052799996221]"
7,Numpy Sort,"[0.012844007997045992, 0.01646524000170757, 0.012867131001257803, 0.012756284999341005, 0.012884242001746316, 0.012941319000674412, 0.012959573999978602, 0.012791270000889199, 0.012862602998211514, 0.01288939200094319]"
8,Quick Sort,"[0.1456278950026899, 0.14453253200190375, 0.14665161399898352, 0.14293525399989448, 0.1467675420026353, 0.14417630800016923, 0.1463426679983968, 0.14294881999740028, 0.15143653600171092, 0.15287466600057087]"
8,Heap Sort,"[0.2890197509987047, 0.2836551380023593, 0.2849732030008454, 0.2847400179998658, 0.2824942839979485, 0.3043138760003785, 0.28211100900080055, 0.2930027269976563, 0.28184344999681343, 0.28245511099885334]"
8,Merge Sort,"[0.23089746100231423, 0.23034027500034426, 0.22376753699791152, 0.22951866000221344, 0.24813732500115293, 0.2660145440022461, 0.2240810520015657, 0.26542240100025083, 0.22372927600008552, 0.22700711700235843]"
8,std::sort,"[0.2107165029992757, 0.20898694900097325, 0.22791629300263594, 0.20915327900002012, 0.20935733900114428, 0.22204444499948295, 0.210286190998886, 0.23925922899798024, 0.2089176800000132, 0.21320182700219448]"
8,Numpy Sort,"[0.012964582001586678, 0.012914659000671236, 0.013240035998023814, 0.012993857999390457, 0.01296449300207314, 0.013119851999363163, 0.013003305000893306, 0.013045263000094565, 0.012968970997462748, 0.01297935000184225]"
9,Quick Sort,"[0.14490819300044677, 0.14624090700090164, 0.14501265700164367, 0.14505606799866655, 0.14504090099944733, 0.14653628900123294, 0.1521154829970328, 0.15727359599986812, 0.1548124299988558, 0.148083415999281]"
9,Heap Sort,"[0.32221620899872505, 0.2834047619980993, 0.2861947329984105, 0.2825233379990095, 0.28358678099903045, 0.28739929999937885, 0.28581376299916883, 0.2849670139985392, 0.28377444299985655, 0.29684484799872735]"
9,Merge Sort,"[0.22507909200066933, 0.22610032699958538, 0.2238081629984663, 0.22340662499846076, 0.2250928789981117, 0.23018420100197545, 0.22356785499869147, 0.2248896489982144, 0.2237551739999617, 0.22355401900131255]"
9,std::sort,"[0.21680871300122817, 0.20918236299985438, 0.2516727769980207, 0.22732319599890616, 0.2339044579966867, 0.223498005001602, 0.23074857299798168, 0.2089244820017484, 0.20940965699992375, 0.21076304699818138]"
9,Numpy Sort,"[0.012987004000024172, 0.017323759999271715, 0.013031447000685148, 0.013462151000567246, 0.01293930500105489, 0.013023984000028577, 0.013086819999443833, 0.012981072999536991, 0.01291669400234241, 0.012948833998962073]"
