Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024321036999026546, 0.024504278997483198, 0.024137996002536966, 0.023184356999990996, 0.035850322998157935, 0.02753014100017026, 0.0242619470009231, 0.023207250000268687, 0.024116626002069097, 0.02317353800026467]"
0,Heap Sort,"[0.22133426999789663, 0.19173558299735305, 0.1882759830004943, 0.20227282999985619, 0.1914016709997668, 0.20394866499918862, 0.18863014999806182, 0.1921761850026087, 0.20569682399946032, 0.26339976899907924]"
0,Merge Sort,"[0.11100661299860803, 0.11178648699933547, 0.1041009069995198, 0.10698580700045568, 0.10456214700025157, 0.12083087000064552, 0.15860275000159163, 0.11498670500077424, 0.10458659299911233, 0.1039648939986364]"
0,std::sort,"[0.07535068200013484, 0.07394129699969199, 0.07389939600034268, 0.10849756700190483, 0.07375093899827334, 0.0739874509999936, 0.08067737400051556, 0.073683793998498, 0.073737324000831, 0.0738539710000623]"
0,Numpy Sort,"[0.022523965999425855, 0.021301453998603392, 0.01840322499992908, 0.012942250999913085, 0.012772082998708356, 0.018328236001252662, 0.013024774998484645, 0.012942761997692287, 0.02687274699928821, 0.012839319002523553]"
1,Quick Sort,"[0.029791936998663004, 0.023728191998088732, 0.02986359100032132, 0.02360044400120387, 0.02965794800184085, 0.023540911999589298, 0.029819859999406617, 0.02357066699914867, 0.029739450001216028, 0.023569083998154383]"
1,Heap Sort,"[0.18696207299944945, 0.22875383100108593, 0.1871118220005883, 0.2545729550001852, 0.1925778340009856, 0.1881594149999728, 0.19338111099932576, 0.21467338100046618, 0.19801861800078768, 0.19059237400142592]"
1,Merge Sort,"[0.10734109800250735, 0.10326429700216977, 0.11628357199879247, 0.10309339900049963, 0.11719544299921836, 0.10333669299870962, 0.10350317299889866, 0.10311461899982532, 0.10447863399895141, 0.14317827500053681]"
1,std::sort,"[0.05962009300128557, 0.05915545600146288, 0.05940061300134403, 0.08073331800187589, 0.05930829100179835, 0.05911898799968185, 0.05921560799833969, 0.107562090997817, 0.06432072600000538, 0.05933990999983507]"
1,Numpy Sort,"[0.013070790999336168, 0.012784697002643952, 0.012986703997739824, 0.01387817599970731, 0.0285225130028266, 0.012971955999091733, 0.012902086000394775, 0.017967323001357727, 0.01313798599949223, 0.012876799002697226]"
