Data set #,Algorithm,Runtime
2,Quick Sort,"[0.14298149100068258, 0.1451593329984462, 0.14670997299981536, 0.1428505430012592, 0.143799328001478, 0.20937009299814235, 0.14313840300019365, 0.16713560599964694, 0.14610045600056765, 0.14337586499823374]"
2,Heap Sort,"[0.3047652589993959, 0.3101303719995485, 0.2922497929976089, 0.3383474450020003, 0.3049004410022462, 0.30027452899958007, 0.30827161600245745, 0.29194562599877827, 0.33165580599961686, 0.30710367799838423]"
2,Merge Sort,"[0.225718223999138, 0.22668458599946462, 0.22884938499919372, 0.2249995439997292, 0.2242057549992751, 0.2303280400010408, 0.23819525500221062, 0.23212848700131872, 0.225432498002192, 0.22385343699716032]"
2,std::sort,"[0.22560397900087992, 0.24065677999897161, 0.21053493300132686, 0.26831918700190727, 0.21693671799948788, 0.21085817700077314, 0.2492811369993433, 0.5019149229992763, 0.21311117799996282, 0.21058259200071916]"
2,Numpy Sort,"[0.013462070000969106, 0.013519596999685746, 0.013615877000120236, 0.01532952300112811, 0.014540667998517165, 0.013731302999076433, 0.013615184998343466, 0.01369583599807811, 0.014611153001169441, 0.016976874001557007]"
3,Quick Sort,"[0.1452103360024921, 0.146152102999622, 0.14822568900126498, 0.14507460099775926, 0.14732201700098813, 0.14653787200222723, 0.14716254599989043, 0.144967534000898, 0.1574795019987505, 0.1466101260011783]"
3,Heap Sort,"[0.281665107999288, 0.3079227560010622, 0.29587327199988067, 0.28724056600185577, 0.29355380500055617, 0.285142551001627, 0.30262314200081164, 0.3095092110015685, 0.2855056419975881, 0.2847533959975408]"
3,Merge Sort,"[0.24983990999680827, 0.223797475999163, 0.22368096499849344, 0.22365877799893497, 0.22399971000049845, 0.22643714200239629, 0.23189346099752584, 0.23834341199835762, 0.38199549799901433, 0.22392318499987596]"
3,std::sort,"[0.3887203739977849, 0.21283002400014084, 0.214599373000965, 0.2582837030022347, 0.2115638939976634, 0.2148405330008245, 0.22764520900091156, 0.23006221399919013, 0.2152127159970405, 0.21168116199987708]"
3,Numpy Sort,"[0.013961942000605632, 0.013454546002321877, 0.013903753999329638, 0.013363286001549568, 0.013478781998855993, 0.013436983001156477, 0.013377342002058867, 0.013408049002464395, 0.013389315001404611, 0.013541368000005605]"
4,Quick Sort,"[0.15058387499811943, 0.14380094100124552, 0.14438836300178082, 0.14380008800071664, 0.14464298899838468, 0.1731334770011017, 0.14375589400151512, 0.14470097600133158, 0.1437202180022723, 0.14403663800112554]"
4,Heap Sort,"[0.28396395399977337, 0.28387882500101114, 0.2870722299994668, 0.28440215100272326, 0.32114732299669413, 0.3110297690000152, 0.29674146799879964, 0.3013581589984824, 0.30346079599985387, 0.325095317002706]"
4,Merge Sort,"[0.22587578499951633, 0.23158978200081037, 0.23298857899862924, 0.22362604600129998, 0.22374079699875438, 0.22601512800247292, 0.2240268509995076, 0.23474079700099537, 0.3055968520020542, 0.22480662200177903]"
4,std::sort,"[0.2143340980001085, 0.20809557599932305, 0.23132240300037665, 0.22160454400000162, 0.2099545199998829, 0.2082229030020244, 0.21178564699948765, 0.20920374300112599, 0.2312323229998583, 0.22914452999975765]"
4,Numpy Sort,"[0.01343630200062762, 0.013460718000715133, 0.01329954700122471, 0.013338609998754691, 0.013357395997445565, 0.013347908003197517, 0.013358887998037972, 0.018056846998661058, 0.013435221000690944, 0.01333539400002337]"
5,Quick Sort,"[0.14982483700077864, 0.17262161200051196, 0.14273793699976522, 0.14194645099996706, 0.1431164620007621, 0.14244937900002697, 0.1418394209977123, 0.14179902600153582, 0.14790039299987257, 0.14178917800018098]"
5,Heap Sort,"[0.28080939200299326, 0.28671548399870517, 0.281149907001236, 0.3171756580013607, 0.31588127199938754, 0.2838982909997867, 0.31039216999852215, 0.3149862150021363, 0.29961914399973466, 0.29673993599863024]"
5,Merge Sort,"[0.22567309100122657, 0.22413108499677037, 0.22374729899820522, 0.24812744399969233, 0.23134010899957502, 0.2365462430025218, 0.22558912400199915, 0.22398122500089812, 0.2247612199971627, 0.2338488059976953]"
5,std::sort,"[0.24991914000202087, 0.21840562999932445, 0.21103094900172437, 0.21014196300166077, 0.21012503399833804, 0.21054792900031316, 0.21062763100053417, 0.21403635300157475, 0.2104360170014843, 0.25749709400042775]"
5,Numpy Sort,"[0.013570643001003191, 0.013525509002647595, 0.013787867999781156, 0.013455017000524094, 0.013543281998863677, 0.014381975001015235, 0.016475058000651188, 0.01352143099938985, 0.013444427000649739, 0.013423488999251276]"
6,Quick Sort,"[0.14254176000031293, 0.1424728519996279, 0.16083690300001763, 0.14805757500289474, 0.14258517200141796, 0.1468887029986945, 0.14225822200023686, 0.14256914099678397, 0.14259932799905073, 0.14292772799672093]"
6,Heap Sort,"[0.28494638900156133, 0.29337498099994264, 0.2967480000006617, 0.2834412190022704, 0.28221154600032605, 0.2972303569986252, 0.31245674200181384, 0.3051144370001566, 0.3057550470002752, 0.28971285299849114]"
6,Merge Sort,"[0.23460972199973185, 0.2320178219997615, 0.22643994000100065, 0.22389388599913218, 0.2302493629977107, 0.2251994040016143, 0.24733903699961957, 0.22591696300150943, 0.22378415800267248, 0.23170849099915358]"
6,std::sort,"[0.21826650399816572, 0.22639362300105859, 0.24450223700114293, 0.21060197900078492, 0.2102408259997901, 0.21071680399836623, 0.21337842699722387, 0.2160872169988579, 0.2686856969994551, 0.20967715599908843]"
6,Numpy Sort,"[0.013601991002360592, 0.013484231996699236, 0.018130183998437133, 0.01344180299929576, 0.013470956997480243, 0.013402047999989009, 0.013449897000100464, 0.013498869000613922, 0.013455347998387879, 0.013406066002062289]"
7,Quick Sort,"[0.14723925900034374, 0.14297697199799586, 0.1418598899981589, 0.141883874002815, 0.14856951999900048, 0.16485571600060211, 0.14562616200055345, 0.14605569000195828, 0.14207528100087075, 0.14445273399906]"
7,Heap Sort,"[0.2837246179988142, 0.2852174020008533, 0.3461745089989563, 0.2800984339992283, 0.28773990500121727, 0.3269609119997767, 0.3125117989984574, 0.2981997290007712, 0.30480831600289093, 0.3100249859999167]"
7,Merge Sort,"[0.22408757399898604, 0.23205954500008374, 0.22711988800074323, 0.24369697599831852, 0.22428585400120937, 0.22386831599942525, 0.2234110530007456, 0.22363329699874157, 0.25660272899767733, 0.2238406640026369]"
7,std::sort,"[0.21712606500295806, 0.2121632110029168, 0.22812660500130733, 0.23079879999932018, 0.22081750700090197, 0.21209558500049752, 0.2502257890009787, 0.21107615400251234, 0.2862737279974681, 0.22635771699788165]"
7,Numpy Sort,"[0.013349860997550422, 0.013286552999488777, 0.013680905998626258, 0.013246187998447567, 0.01333088500177837, 0.013345782997930655, 0.013614343999506673, 0.013422976997389924, 0.01338627899895073, 0.01348017399868695]"
8,Quick Sort,"[0.14610020899999654, 0.1447726699989289, 0.14880829499816173, 0.1428427719984029, 0.14405689599880134, 0.1429638280023937, 0.14783944800001336, 0.15031570500286762, 0.14511748299992178, 0.1868878120003501]"
8,Heap Sort,"[0.2852800180007762, 0.30079779000152485, 0.2850069189989881, 0.29820882600324694, 0.2984901859999809, 0.28511057200012146, 0.28634367899940116, 0.2808769809998921, 0.29818536799939466, 0.29383143299855874]"
8,Merge Sort,"[0.2307897700011381, 0.24055797600158257, 0.22391964800044661, 0.28407127399987075, 0.23032032499759225, 0.22544088699942222, 0.2388405210003839, 0.22367717900124262, 0.2273283940012334, 0.22400105300039286]"
8,std::sort,"[0.2106335990029038, 0.21405116800087853, 0.20937981200040667, 0.20974217700131703, 0.2236137600011716, 0.26654122599939, 0.21054196099794353, 0.20892225799980224, 0.20954089099905104, 0.20936611499928404]"
8,Numpy Sort,"[0.013483910999639193, 0.01372003099822905, 0.013380527998378966, 0.016740091999963624, 0.01351842499934719, 0.017983300000196323, 0.018168704998970497, 0.013614724997751182, 0.014649814998847432, 0.01356520300032571]"
9,Quick Sort,"[0.14526365599886049, 0.14504365600078017, 0.1451690290014085, 0.14915882800050895, 0.14496845499888877, 0.14529248899998493, 0.14598181399924215, 0.14507528499962064, 0.1484218969999347, 0.14843306499824394]"
9,Heap Sort,"[0.3761244080014876, 0.2879020769978524, 0.29325149100259296, 0.2815280750000966, 0.28822194100212073, 0.28164124400063884, 0.2913885569978447, 0.2817728879999777, 0.28401341599965235, 0.297912998998072]"
9,Merge Sort,"[0.2328017820000241, 0.23544099500213633, 0.403785765000066, 0.22557918399979826, 0.2496726569988823, 0.23508071100150119, 0.22549031900052796, 0.22368367099988973, 0.22363542099992628, 0.22341168399725575]"
9,std::sort,"[0.22662806099833688, 0.22673650000069756, 0.20864700400125002, 0.23544850699909148, 0.21254863899957854, 0.24636500099950354, 0.23734696600149618, 0.20911543799957144, 0.24739860800036695, 0.20927285200014012]"
9,Numpy Sort,"[0.015602690997184254, 0.013535627000237582, 0.013377832998230588, 0.013397459999396233, 0.013342146998184035, 0.01344371599770966, 0.013374957001360599, 0.013461828999425052, 0.013549233000958338, 0.013424960001430009]"
