Data set #,Algorithm,Runtime
0,Quick Sort,"[0.026317369000025792, 0.03198524700201233, 0.02416325300146127, 0.023170381999079837, 0.024100645998260006, 0.023245491000125185, 0.02423534699846641, 0.023141748002672102, 0.024130340996634914, 0.023222709001856856]"
0,Heap Sort,"[0.18759950199819286, 0.195655571998941, 0.19915217199741164, 0.18908618299974478, 0.23708160100068199, 0.189393115000712, 0.18746489999830374, 0.1915698140001041, 0.1874209490015346, 0.18889460700302152]"
0,Merge Sort,"[0.11325799000042025, 0.13674449199970695, 0.12140083299891558, 0.10399612199762487, 0.10675886300305137, 0.1047144539988949, 0.10434550400168519, 0.10402988499845378, 0.10437752299912972, 0.10404486300103599]"
0,std::sort,"[0.08799408599952585, 0.0738226030007354, 0.07821238099859329, 0.07978218499920331, 0.07452581400139024, 0.0883399209997151, 0.09646018100102083, 0.0739624339985312, 0.07964920700032962, 0.07413148900013766]"
0,Numpy Sort,"[0.013076661998638883, 0.012916302999656182, 0.012883901999884984, 0.012779577999026515, 0.012934206002682913, 0.012806597998860525, 0.01293177100160392, 0.012782592999428743, 0.012836784997489303, 0.012826985999708995]"
1,Quick Sort,"[0.029819849998602876, 0.03636551499948837, 0.029737094999291003, 0.035771726001257775, 0.029841820996807655, 0.023364884000329766, 0.029696039000555174, 0.023338355000305455, 0.02967760499814176, 0.02335157899869955]"
1,Heap Sort,"[0.19064897000134806, 0.1980546550003055, 0.1873755730011908, 0.23043153199978406, 0.18718722199992044, 0.19294952400014154, 0.18815339200227754, 0.18948330400235136, 0.1873621680024371, 0.1894595500016294]"
1,Merge Sort,"[0.1151276290001988, 0.10312245300156064, 0.1033207520013093, 0.10348021000027074, 0.12447782000162988, 0.11377021899897954, 0.10358745000121417, 0.10397322199787595, 0.10814790000222274, 0.10390289800125174]"
1,std::sort,"[0.0636054829992645, 0.07072341400271398, 0.05938559499918483, 0.05924237799990806, 0.05913083999985247, 0.05916015500042704, 0.0592339520007954, 0.0590271360015322, 0.05912368700228399, 0.059136110001418274]"
1,Numpy Sort,"[0.01291490000221529, 0.012794645997928455, 0.012911753998196218, 0.012813240999093978, 0.012787012001354015, 0.012848646998463664, 0.012793082001735456, 0.013337418000446633, 0.012797049999790033, 0.012848004997067619]"
2,Quick Sort,"[0.14491697699850192, 0.14298480700017535, 0.1520739939987834, 0.14806489900001907, 0.1441756300009729, 0.1427802049984166, 0.15451343200038536, 0.14680881700041937, 0.1504741879980429, 0.14272214700031327]"
2,Heap Sort,"[0.28353876099936315, 0.2840280439995695, 0.2863720950008428, 0.28697099100099877, 0.3078435979987262, 0.2859830189991044, 0.28360639700258616, 0.2941318400007731, 0.2969456690007064, 0.3000996769987978]"
2,Merge Sort,"[0.22707044600247173, 0.2234913920001418, 0.22411953399932827, 0.22439231200041831, 0.2234098199987784, 0.22352020600010292, 0.2256698140008666, 0.23846964999756892, 0.22975219600266428, 0.22442648599826498]"
2,std::sort,"[0.20981701599885128, 0.21476209600223228, 0.2098789890005719, 0.2436601970002812, 0.22920902999976533, 0.26545176999934483, 0.21015554800032987, 0.2143033819993434, 0.2104396170034306, 0.21145131299999775]"
