Data set #,Algorithm,Runtime
0,Quick Sort,"[0.02555859399944893, 0.03990322300160187, 0.024208966999140102, 0.023283852999156807, 0.027785826998297125, 0.0322020510029688, 0.02414114199928008, 0.023308341998927062, 0.024154276001354447, 0.023292248999496223]"
0,Heap Sort,"[0.1918538729987631, 0.20083210699885967, 0.20253759600018384, 0.19740191600067192, 0.18773216900081025, 0.1877067610002996, 0.1918386349971115, 0.19096866700056125, 0.1873319430014817, 0.1878009669999301]"
0,Merge Sort,"[0.12176482200084138, 0.10474336499828496, 0.10413258599874098, 0.10439497500192374, 0.10419841899783933, 0.10615735900137224, 0.10421722500177566, 0.12220380999860936, 0.10429966800074908, 0.1192430199989758]"
