Data set #,Algorithm,Runtime
5,Merge Sort,"[0.22366845199940144, 0.22510630300166667, 0.24582210800144821, 0.2241532570005802, 0.24556389999997918, 0.2240199180014315, 0.22366062799846986, 0.22362740599783137, 0.23124063100112835, 0.2234104919989477]"
5,std::sort,"[0.21076369200090994, 0.25875087399981567, 0.23265361499943538, 0.20985931500035804, 0.2244132810010342, 0.21418809600072564, 0.24326800600101706, 0.21074814200255787, 0.21729840499756392, 0.21027858699744684]"
5,Numpy Sort,"[0.013569980997999664, 0.014207579999492737, 0.013641094003105536, 0.01394865699694492, 0.013424179000139702, 0.013372683999477886, 0.013259723000373924, 0.013399233001109678, 0.013445368997054175, 0.014003549997141818]"
6,Quick Sort,"[0.14223422700160882, 0.14382377099900623, 0.14224875400032033, 0.14300003499738523, 0.14825324200137402, 0.1482763129970408, 0.146834265000507, 0.14219996400061063, 0.14363154300008318, 0.14225691899991944]"
6,Heap Sort,"[0.30118896099884296, 0.2979110819978814, 0.2835490200013737, 0.285152920998371, 0.2834248090002802, 0.2926060870013316, 0.2833517729995947, 0.295560797003418, 0.2852760700006911, 0.3199310380005045]"
6,Merge Sort,"[0.24330369000017527, 0.22339841799839633, 0.25992933199813706, 0.22591409000233398, 0.22360400199977448, 0.22980060599729768, 0.2251503249972302, 0.22353680699961842, 0.2235185729987279, 0.2251496839999163]"
6,std::sort,"[0.2097857879998628, 0.2538051930023357, 0.21132027900239336, 0.2095474470006593, 0.2301192999984778, 0.2313219029965694, 0.21080884599723504, 0.25079893699876266, 0.24930909700196935, 0.20955275400046958]"
6,Numpy Sort,"[0.013553731001593405, 0.013553189997765003, 0.01356651499736472, 0.013562688000092749, 0.013752371000009589, 0.013532541001040954, 0.013481035002769204, 0.013487135998730082, 0.013432705000013812, 0.013577355002780678]"
7,Quick Sort,"[0.1419226459984202, 0.14201211300314753, 0.14186955699915416, 0.14954541900078766, 0.14183857000170974, 0.1419780100004573, 0.1418011399982788, 0.14304167299997061, 0.14910661799876834, 0.142724953002471]"
7,Heap Sort,"[0.30507025699989754, 0.30556635999892023, 0.3038498209971294, 0.3043285569983709, 0.2922818000006373, 0.30605650899815373, 0.2919494499983557, 0.36268136400030926, 0.3022567110019736, 0.30463453400079743]"
7,Merge Sort,"[0.22350952600027085, 0.22669153199967695, 0.2692317590008315, 0.23210994100008975, 0.2240763359986886, 0.22352269800103386, 0.22375117400224553, 0.22369807999712066, 0.22368685599940363, 0.2234177649988851]"
7,std::sort,"[0.24346744799913722, 0.2116724660008913, 0.21218722599951434, 0.22419647700007772, 0.21211444700020365, 0.2118830990002607, 0.2828786830032186, 0.23783981199812843, 0.21250087099906523, 0.22921703699830687]"
7,Numpy Sort,"[0.013388753002800513, 0.013386209000600502, 0.013586944001872325, 0.013342457001272123, 0.013372313002037117, 0.013270161998661933, 0.013451990998873953, 0.013280993000080343, 0.013345442002901109, 0.013705994999327231]"
8,Quick Sort,"[0.14458938900133944, 0.14299522699730005, 0.15230346200041822, 0.14282756300235633, 0.14459578999958467, 0.1496310620022996, 0.14472394900076324, 0.14283739199890988, 0.1449898850005411, 0.1427462520005065]"
8,Heap Sort,"[0.2881848440010799, 0.37944946800053003, 0.2834870949991455, 0.30504912700052955, 0.3066260980012885, 0.30402270400009, 0.30935832300019683, 0.3046364780020667, 0.28326110299894935, 0.31385728099849075]"
8,Merge Sort,"[0.223715150001226, 0.22532763699928182, 0.2252254359991639, 0.2234497450008348, 0.25253804000021773, 0.23373898199861287, 0.2234221239996259, 0.2235745380021399, 0.22412435300066136, 0.22353772900169133]"
8,std::sort,"[0.24715946200012695, 0.20955450700057554, 0.21374544799982687, 0.21087997799986624, 0.21275617300125305, 0.21366220499839983, 0.24331999099740642, 0.21512388100018143, 0.22024316599708982, 0.22919911700228113]"
8,Numpy Sort,"[0.013727573001233395, 0.013494170001649763, 0.013697196001885459, 0.01347262999843224, 0.01344925599914859, 0.01795024799866951, 0.013478140001097927, 0.013437773999612546, 0.013355450999370078, 0.016667095998855075]"
9,Quick Sort,"[0.14518149200011976, 0.14621280600113096, 0.14507426300042425, 0.14511024900275515, 0.14511782400222728, 0.14509612400070182, 0.14542507700025453, 0.14501999200001592, 0.14659621000100742, 0.14600710200102185]"
9,Heap Sort,"[0.28806548200009274, 0.30634442300288356, 0.2850305930005561, 0.33160071399834123, 0.2848132670005725, 0.30609786299828556, 0.31958458999724826, 0.3046678669998073, 0.30089208699791925, 0.3047872589995677]"
9,Merge Sort,"[0.22514614800093113, 0.24087907200009795, 0.22348277600030997, 0.24242048899759538, 0.22477088500090758, 0.22356753400163143, 0.2293714480001654, 0.24495108400151366, 0.2246642489990336, 0.2362106180007686]"
9,std::sort,"[0.20852872399700573, 0.2124064140007249, 0.20879842700014706, 0.20906017599918414, 0.21293330699700164, 0.22467364700059989, 0.21147556900177733, 0.21217258899923763, 0.21026550300302915, 0.20895320599811384]"
9,Numpy Sort,"[0.013474522998876637, 0.013306309996551136, 0.013446671997371595, 0.013472829999955138, 0.015718807000666857, 0.014397563998500118, 0.013353809001273476, 0.013447872999677202, 0.013424199998553377, 0.013394184003118426]"
