Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024383012001635507, 0.02318703200216987, 0.024135781997756567, 0.023260558999027126, 0.028818000999308424, 0.023362029001873452, 0.02451556999949389, 0.023276118998182938, 0.024132976999680977, 0.023755662998155458]"
0,Heap Sort,"[0.19187946199963335, 0.2178092079993803, 0.24228027400022256, 0.19071422900015023, 0.1877583979985502, 0.18774910000138334, 0.21064448900142452, 0.19627284300077008, 0.18769591100135585, 0.19131721400117385]"
0,Merge Sort,"[0.13715508699897327, 0.10395184000299196, 0.10406588199839462, 0.10762810400046874, 0.10529789000065648, 0.11399252000046545, 0.10442817800139892, 0.11092475099940202, 0.10425137800120865, 0.10443649100125185]"
0,std::sort,"[0.07787593100147205, 0.08706954200170003, 0.07479766899996321, 0.07405254200057243, 0.07409612300034496, 0.07389371599856531, 0.10928110600070795, 0.07375825300186989, 0.07413065000218921, 0.07395316600013757]"
0,Numpy Sort,"[0.013461688999086618, 0.012881096998171415, 0.01277572099934332, 0.012797131003026152, 0.012880816000688355, 0.01292625100177247, 0.01286377499855007, 0.017451488998631248, 0.012825142999645323, 0.012777272997482214]"
1,Quick Sort,"[0.029693644999497337, 0.023409667999658268, 0.02974411800096277, 0.02337956199698965, 0.029769465003482765, 0.02366911799981608, 0.029695317996811355, 0.023341360996710137, 0.03451896099795704, 0.023868292999395635]"
1,Heap Sort,"[0.18978141999832587, 0.20240350300082355, 0.19030436500179349, 0.20480511400091927, 0.20630389600046328, 0.19801402899975074, 0.18741275399952428, 0.1872560310002882, 0.19066822400054662, 0.24957913300022483]"
1,Merge Sort,"[0.10323147600138327, 0.10339748600017629, 0.10324337799829664, 0.10338774800038664, 0.11381073099983041, 0.10322451300089597, 0.10763796199898934, 0.1032486690019141, 0.10382245800064993, 0.10308221800005413]"
1,std::sort,"[0.06493495500035351, 0.06096768499992322, 0.05917101500017452, 0.05905195299783372, 0.059140858000318985, 0.09285156199985067, 0.05940054600068834, 0.05934189400068135, 0.05920837400117307, 0.059499908002180746]"
1,Numpy Sort,"[0.01300947599884239, 0.01284019999729935, 0.012976886002434185, 0.013017081000725739, 0.012726478998956736, 0.01306848699823604, 0.012809193001885433, 0.012951067001267802, 0.012833107000915334, 0.012884002997452626]"
2,Quick Sort,"[0.14269229199999245, 0.14274934800050687, 0.14270505599779426, 0.14355129300020053, 0.14282098100011353, 0.1428554880003503, 0.1466356140008429, 0.14415021000240813, 0.14282754400119302, 0.14290475800225977]"
2,Heap Sort,"[0.3131266089985729, 0.319045244003064, 0.3091459870011022, 0.35647131800214993, 0.3084903469971323, 0.2813614119986596, 0.31680172300184495, 0.2880886749990168, 0.3065249489991402, 0.30504923700209474]"
2,Merge Sort,"[0.22337596699799178, 0.22928141800002777, 0.22527462699872558, 0.24209747400163906, 0.23661459799768636, 0.2239614280006208, 0.22520139100015513, 0.22565125899927807, 0.2235025330010103, 0.22337640799742076]"
2,std::sort,"[0.21517495599982794, 0.2100907770000049, 0.21048045600036858, 0.24266858600094565, 0.20975748500131886, 0.2110345189976215, 0.21439324899984058, 0.24869476400272106, 0.21933662599985837, 0.22373898699879646]"
2,Numpy Sort,"[0.013575430999480886, 0.013592203002190217, 0.013558921000367263, 0.013506702998711262, 0.013422996998997405, 0.013441310999041889, 0.018727426999248564, 0.019152392000250984, 0.020061781997355865, 0.013566494999395218]"
3,Quick Sort,"[0.14524461000110023, 0.145778475998668, 0.1451873930018337, 0.14492367200000444, 0.1449284330010414, 0.15991444199971738, 0.14494250699863187, 0.14489270400008536, 0.14903765199778718, 0.14477109700237634]"
3,Heap Sort,"[0.33879093900031876, 0.2854204299983394, 0.3224049499985995, 0.31273183200028143, 0.3049836560021504, 0.2815071529985289, 0.30757823300154996, 0.28210274699813453, 0.3235425490020134, 0.2825464639972779]"
3,Merge Sort,"[0.22375472599742352, 0.22522733900041203, 0.22541229400303564, 0.23018592500011437, 0.22351469499699306, 0.2261976979971223, 0.23766582299867878, 0.22794317200168734, 0.22414382799979649, 0.2237012940022396]"
3,std::sort,"[0.21149441399757052, 0.21167105299900868, 0.24476025799958734, 0.2115278160017624, 0.21118378499886603, 0.21169057999941288, 0.21095975700154668, 0.21399965499949758, 0.21157745900200098, 0.2139871920007863]"
3,Numpy Sort,"[0.013501895002264064, 0.013454486001137411, 0.013550555002439069, 0.01334932999816374, 0.01348568500179681, 0.019307479000417516, 0.013538571998651605, 0.01344813499963493, 0.01348838999911095, 0.013403501001448603]"
4,Quick Sort,"[0.14504204300101264, 0.14397860199824208, 0.143731588999799, 0.14371370599837974, 0.15586313899984816, 0.14392561099884915, 0.14377483999851393, 0.14543860900084837, 0.1438405619992409, 0.14365397399888025]"
4,Heap Sort,"[0.335728800000652, 0.2821931130019948, 0.3230789039989759, 0.28229786999872886, 0.32082367700058967, 0.3429037679998146, 0.30469864400220104, 0.2843670949987427, 0.31609812600072473, 0.28170306099855225]"
4,Merge Sort,"[0.23069203799968818, 0.22368339100285084, 0.24693031499919016, 0.22342035899782786, 0.22595948399975896, 0.2250204730007681, 0.2235401739999361, 0.22366293199957, 0.22811151599671575, 0.23067865499979234]"
4,std::sort,"[0.20764963300098316, 0.22442212499663583, 0.2076526009986992, 0.20754657100042095, 0.20835003100000904, 0.20792974700088962, 0.20719038899915176, 0.2239809120001155, 0.2081774520011095, 0.25670978799826116]"
4,Numpy Sort,"[0.015601087998220464, 0.013406174999545328, 0.014090661999944132, 0.013273549000587082, 0.013232110999524593, 0.013225638998846989, 0.013279430000693537, 0.013386369002546417, 0.013174233001336688, 0.01338348400167888]"
5,Quick Sort,"[0.14180475000102888, 0.14996147199781262, 0.14715418800187763, 0.14198127299823682, 0.14189380199968582, 0.14168136599982972, 0.14191798100000597, 0.2021154470021429, 0.1418533079995541, 0.14249994300189428]"
5,Heap Sort,"[0.32611853200069163, 0.2838070210018486, 0.30467434900128865, 0.2835164469979645, 0.30700905099729425, 0.28238567099833745, 0.3082211510009074, 0.35850091199972667, 0.30396942399966065, 0.28170032399793854]"
