Data set #,Algorithm,Runtime
3,Heap Sort,"[0.28136233300028834, 0.28494194700033404, 0.30510393899749033, 0.2827741930013872, 0.2812426310010778, 0.28319490699868766, 0.2856815370032564, 0.284178936999524, 0.3305742129996361, 0.29653638300078455]"
3,Merge Sort,"[0.22379461700256797, 0.2240652130021772, 0.2241879909997806, 0.22622930999932578, 0.22479333899900666, 0.22555749800085323, 0.2261472350000986, 0.2244139520007593, 0.24686475899943616, 0.23198984800183098]"
3,std::sort,"[0.2134390400024131, 0.22589421999873593, 0.23426574799668742, 0.2313198990013916, 0.21154773300077068, 0.22433735999948112, 0.21117800399952102, 0.21552051799881156, 0.2120410730021831, 0.23794851799902972]"
3,Numpy Sort,"[0.013505501003237441, 0.013350862998777302, 0.013447673001792282, 0.013332137998077087, 0.013434869000775507, 0.01562041500073974, 0.013429909999103984, 0.013324573999852873, 0.013393312001426239, 0.013491806003003148]"
4,Quick Sort,"[0.14517567200164194, 0.143805085997883, 0.144479753998894, 0.14644411699919146, 0.1444106950002606, 0.17396896799982642, 0.14393804400242516, 0.1537144520007132, 0.14399393799976679, 0.14451728700078093]"
4,Heap Sort,"[0.2834496149989718, 0.29258420599944657, 0.3192360089997237, 0.28472365099878516, 0.281602772000042, 0.28547854800126515, 0.2949820670000918, 0.3165614019999339, 0.2816427660000045, 0.28300191100061056]"
4,Merge Sort,"[0.23639367600117112, 0.24412649599980796, 0.22366219099785667, 0.22670069599917042, 0.2244262450003589, 0.2432103270002699, 0.22389571600069758, 0.22978543000135687, 0.22413251800026046, 0.22399852799935616]"
4,std::sort,"[0.2074602220018278, 0.25812385699828155, 0.20889367500058142, 0.24025133199756965, 0.21207506399878184, 0.20806413799800794, 0.21989002500049537, 0.21064743399983854, 0.20893386900206679, 0.2350516369988327]"
4,Numpy Sort,"[0.013286212000821251, 0.01337184200019692, 0.014604900999984238, 0.013274209999508457, 0.013314824998815311, 0.013384124998992775, 0.013308232999406755, 0.013330996000149753, 0.013305197997397045, 0.01339833200108842]"
5,Quick Sort,"[0.14195554700199864, 0.14165973600029247, 0.16164925699922605, 0.1529824980025296, 0.14189381299729575, 0.14154998199956026, 0.14168848999906913, 0.14233886299916776, 0.1416091819992289, 0.14715519300079904]"
5,Heap Sort,"[0.3102333139977418, 0.29381330799878924, 0.3038013610021153, 0.2848984459997155, 0.2911482090021309, 0.28551607800181955, 0.2814464900002349, 0.28331217899904004, 0.2815454640003736, 0.3178619450009137]"
5,Merge Sort,"[0.22405232800156227, 0.22388447500270559, 0.22540465999918524, 0.23320880100072827, 0.2526694080006564, 0.22595019900109037, 0.22731864600064, 0.2254136460032896, 0.2246951369997987, 0.22554538099939236]"
5,std::sort,"[0.22353707799993572, 0.23184439599936013, 0.2104967140003282, 0.20983158300077775, 0.21025324999936856, 0.21047198499945807, 0.22340357099892572, 0.21022216200071853, 0.21012800899916328, 0.2484912740001164]"
5,Numpy Sort,"[0.013463633000355912, 0.01961064400165924, 0.015435058001457946, 0.013378905001445673, 0.013366040999244433, 0.013440961000014795, 0.0134738520027895, 0.013461899998219451, 0.013297523997607641, 0.013526921000448056]"
6,Quick Sort,"[0.14293462299974635, 0.1423424269996758, 0.14227230899996357, 0.15480537700204877, 0.14214713500041398, 0.16408460800084868, 0.14390269500290742, 0.14235555400227895, 0.1422467329975916, 0.14251693400001386]"
6,Heap Sort,"[0.2791416229993047, 0.28007267900102306, 0.3431904229983047, 0.29620190099740284, 0.28154465400075424, 0.28209967800285085, 0.28087800800130935, 0.30031301899725804, 0.2792117339995457, 0.28239352599848644]"
6,Merge Sort,"[0.22376319899922237, 0.2242767259995162, 0.23248421900279936, 0.2240443230002711, 0.2235674139992625, 0.24359416400329792, 0.22465893900152878, 0.23149642099815537, 0.2238146380004764, 0.22384256700024707]"
6,std::sort,"[0.214659995999682, 0.2532259019972116, 0.2097013809980126, 0.2706746229996497, 0.2095187300001271, 0.20964235000064946, 0.21436070900017512, 0.22213398900203174, 0.2095340279993252, 0.27483415200185846]"
6,Numpy Sort,"[0.013510671000403818, 0.013361022000026423, 0.01342957899760222, 0.013384164998569759, 0.013396998998359777, 0.013589869002316846, 0.013353457998164231, 0.01343919799910509, 0.013412748001428554, 0.013408328999503283]"
7,Quick Sort,"[0.14760621299865306, 0.14227968200066243, 0.14189006500237156, 0.15599000500151305, 0.14174759999878006, 0.14276572900052997, 0.14173272300104145, 0.14178724399971543, 0.14195018700047513, 0.14334437700017588]"
7,Heap Sort,"[0.2892394909977156, 0.28098360799776856, 0.3350851299983333, 0.2843073750009353, 0.2823453860000882, 0.2973538070000359, 0.30026323399943067, 0.2971786729976884, 0.280718492998858, 0.30960299800062785]"
7,Merge Sort,"[0.2253670099998999, 0.22652113100048155, 0.2237122940023255, 0.22381092800060287, 0.22530827000082354, 0.24361354699794902, 0.2251633089981624, 0.22379370600174298, 0.2237945979977667, 0.2328829130019585]"
7,std::sort,"[0.23021342599895434, 0.22710873899995931, 0.2206111419982335, 0.21165349099828745, 0.2113528000008955, 0.21438017499895068, 0.2279146500004572, 0.2118057219995535, 0.22253033999731997, 0.2537488080015464]"
7,Numpy Sort,"[0.013415372999588726, 0.013401306998275686, 0.015247048002493102, 0.01319341899943538, 0.013264881999930367, 0.013372282999625895, 0.013241549000667874, 0.01324611800009734, 0.01329171199904522, 0.0166767129994696]"
8,Quick Sort,"[0.14478760799829615, 0.14403091699932702, 0.14935284700186457, 0.14563673899829155, 0.14551124699937645, 0.14751771800001734, 0.14481889400121872, 0.14306328399834456, 0.14474961999803782, 0.14268255299975863]"
8,Heap Sort,"[0.2811567799981276, 0.2848787500006438, 0.31690316700041876, 0.284112745001039, 0.27812858399920515, 0.28156233900153893, 0.2835303330030001, 0.31685365999874193, 0.2992998180016002, 0.28066524300083984]"
8,Merge Sort,"[0.22475989700251375, 0.22437971899853437, 0.22975588299959782, 0.22529091700198478, 0.2238396009997814, 0.22651196500009974, 0.22542438399977982, 0.22374916300032055, 0.22440536900103325, 0.22689723200164735]"
8,std::sort,"[0.23342088700155728, 0.2097687159985071, 0.28857349900135887, 0.23499693399935495, 0.21212517000094522, 0.20966161899923463, 0.2096154300015769, 0.2134038039985171, 0.20923354900151026, 0.2503090640020673]"
8,Numpy Sort,"[0.013472700000420446, 0.013377672999922652, 0.013349569999263622, 0.013500411998393247, 0.013350612000067485, 0.013288496000313899, 0.013364668000576785, 0.01331933400069829, 0.013408200000412762, 0.013400665997323813]"
9,Quick Sort,"[0.14642740599811077, 0.14588236000054167, 0.15178038600060972, 0.1453095620017848, 0.145244619998266, 0.14538750599967898, 0.14687926799888373, 0.15431682499911403, 0.14520579099917086, 0.14531989799797884]"
9,Heap Sort,"[0.28323973300211946, 0.28109911299907253, 0.28745907100164914, 0.2814473590005946, 0.28516596500048763, 0.2840204800013453, 0.28043080600036774, 0.28743265899902326, 0.3240662579992204, 0.2911787570010347]"
9,Merge Sort,"[0.23324988700187532, 0.23657019000165747, 0.22566804000234697, 0.22656513300171355, 0.23373408999759704, 0.2259732200000144, 0.224093875996914, 0.22388414499801002, 0.22568322900042403, 0.22528776399849448]"
9,std::sort,"[0.2552056040003663, 0.2087659060016449, 0.20857489999980316, 0.20853713000178686, 0.2086721320010838, 0.22972602699883282, 0.2567044409988739, 0.20863264500076184, 0.20939568099856842, 0.24451245599993854]"
9,Numpy Sort,"[0.013437494999379851, 0.013457011002174113, 0.013426483998046024, 0.013309596000908641, 0.013401015999988886, 0.013390778000029968, 0.013356302999454783, 0.013348058000701712, 0.013348789001611294, 0.013393743000051472]"
