Data set #,Algorithm,Runtime
0,Quick Sort,"[0.025228698999853805, 0.02339916799974162, 0.024127065000357106, 0.023991721998754656, 0.02414677200067672, 0.023284242997760884, 0.02423674000237952, 0.023324579000473022, 0.02484397199805244, 0.023243217001436278]"
0,Heap Sort,"[0.20595803900141618, 0.2389585229975637, 0.1921590029996878, 0.18749711000054958, 0.18792429899986018, 0.19177450599818258, 0.18744966200029012, 0.20850942099787062, 0.20216171600259258, 0.18742994600324892]"
0,Merge Sort,"[0.11065994599994156, 0.10597044300084235, 0.10437296700183651, 0.10420010199959506, 0.12302165499932016, 0.10635204400023213, 0.10701450000124169, 0.10590746500020032, 0.10440091700002085, 0.10454959400158259]"
0,std::sort,"[0.07917016400097054, 0.07406156800061581, 0.07397273300011875, 0.07614119600111735, 0.07367364499805262, 0.07979346600041026, 0.07368570800099405, 0.07381496900052298, 0.07378501299899654, 0.0737836709995463]"
0,Numpy Sort,"[0.012917094001750229, 0.012846762001572642, 0.012799063999409555, 0.014954252997995354, 0.01290413999959128, 0.01572922799823573, 0.018400438002572628, 0.01793136299966136, 0.012840952000260586, 0.013141929997800617]"
1,Quick Sort,"[0.029642027999216225, 0.023355626999546075, 0.029718549998506205, 0.02340781400198466, 0.02973628300242126, 0.023381214999972144, 0.034781289999955334, 0.023344856999756303, 0.029862308001611382, 0.035170775998267345]"
1,Heap Sort,"[0.2393771690003632, 0.18685541399827343, 0.18731772799947066, 0.18811266500051715, 0.1917887220006378, 0.18744284000058542, 0.19987183600096614, 0.1901391040009912, 0.19699288500123657, 0.2080457709998882]"
1,Merge Sort,"[0.1165805550008372, 0.10341079999852809, 0.10353939099877607, 0.11450747000344563, 0.1050609779995284, 0.10329594599897973, 0.10362399799851119, 0.10360896999918623, 0.10357786199892871, 0.10335044800012838]"
1,std::sort,"[0.059165534999920055, 0.05909625500135007, 0.06733689999964554, 0.059136160001799, 0.05931194799995865, 0.05994941700191703, 0.059153592999791726, 0.05963367799995467, 0.0592701199966541, 0.059400492998975096]"
1,Numpy Sort,"[0.013038329998380505, 0.012818210001569241, 0.012896536001790082, 0.017731490999722155, 0.01777795700036222, 0.012985320998268435, 0.012786540999513818, 0.012767305001034401, 0.012800577002053615, 0.013048077998973895]"
2,Quick Sort,"[0.1449162980024994, 0.1431081170012476, 0.14391485099986312, 0.14290302399967914, 0.14959970099880593, 0.15304819999801111, 0.14277000600122847, 0.14267824499984272, 0.14344676800101297, 0.1442535130008764]"
2,Heap Sort,"[0.2811496790018282, 0.2944910299993353, 0.28224080200016033, 0.28512022999711917, 0.28330542700132355, 0.29907535199890845, 0.3308366109995404, 0.2852015120006399, 0.2988000490004197, 0.2873495370004093]"
2,Merge Sort,"[0.22454188099800376, 0.23003504300140776, 0.2242003540013684, 0.2248452769999858, 0.2250914649994229, 0.22570723399985582, 0.22433510500195553, 0.23029949600095279, 0.22366718999910518, 0.22461749200010672]"
2,std::sort,"[0.22559768700011773, 0.2102996460016584, 0.23752230299942312, 0.22945650199835654, 0.2116843779986084, 0.21331146200100193, 0.21159092699963367, 0.21101716400153236, 0.22714878199985833, 0.2101458389988693]"
2,Numpy Sort,"[0.01814723500137916, 0.01358968899876345, 0.014617083998018643, 0.013351102999877185, 0.01345425600084127, 0.01355146700007026, 0.013381671000388451, 0.013457803001074353, 0.013323341998329852, 0.01345532000050298]"
3,Quick Sort,"[0.1448128150004777, 0.18509159500172245, 0.15402188499865588, 0.14568014299948118, 0.14471890099957818, 0.14496267499998794, 0.14494105499761645, 0.14465631299754023, 0.15012755499992636, 0.14559713099879446]"
