Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024987901000713464, 0.023176902999693993, 0.02413403799801017, 0.023207721002108883, 0.024129128996719373, 0.02353653400132316, 0.024274139999761246, 0.025046479000593536, 0.02420663299926673, 0.026440841997100506]"
0,Heap Sort,"[0.19106219799868995, 0.1877959279991046, 0.1880573929993261, 0.19121344900122494, 0.19745229200270842, 0.21355953100282932, 0.20168562500111875, 0.18784818499989342, 0.20747859599941876, 0.1904379939987848]"
0,Merge Sort,"[0.11093551099838805, 0.10417153199887252, 0.10427565299687558, 0.10717488899899763, 0.1045359850031673, 0.13161944600142306, 0.10458060200107866, 0.10463544400045066, 0.10457225600111997, 0.11623413000052096]"
0,std::sort,"[0.07589459699738654, 0.07408797799871536, 0.08025916399856214, 0.07404542799849878, 0.07385236900154268, 0.0742539949969796, 0.12466181399940979, 0.07404025900177658, 0.08454660800271085, 0.07492768399970373]"
0,Numpy Sort,"[0.012863264000770869, 0.01287762100037071, 0.012893921000795672, 0.012805705999198835, 0.012911775000247872, 0.012990610997803742, 0.012899091001600027, 0.012994127999263583, 0.012900772999273613, 0.012847994999901857]"
1,Quick Sort,"[0.029681170999538153, 0.023353803000645712, 0.029896882999310037, 0.0235034529978293, 0.029788121002638945, 0.024857716998667456, 0.02988526099943556, 0.02340488800109597, 0.029856989000109024, 0.023358301998086972]"
1,Heap Sort,"[0.1876615370019863, 0.18907880199913052, 0.19053433300359757, 0.18746597199788084, 0.18758642700049677, 0.2053229070006637, 0.20838004699908197, 0.23107577100017807, 0.18772427499789046, 0.1985335680001299]"
1,Merge Sort,"[0.10332820700205048, 0.10667516700050328, 0.10325984900191543, 0.10329421300048125, 0.11276650700165192, 0.1066087030012568, 0.10359695800070767, 0.10348699300084263, 0.10349109100206988, 0.10319829500076594]"
1,std::sort,"[0.05914546799976961, 0.059405202002380975, 0.05939056200077175, 0.059668993002560455, 0.0592485899978783, 0.08007665400145925, 0.059195952002482954, 0.05947516200103564, 0.05942615100138937, 0.08407019999867771]"
1,Numpy Sort,"[0.01519986299899756, 0.01777592399957939, 0.012861741000961047, 0.012818679999327287, 0.012794985999789787, 0.01785015200221096, 0.012967238002602244, 0.012860327999078436, 0.012977367001440143, 0.01290082400009851]"
2,Quick Sort,"[0.14269465500183287, 0.14338958100051968, 0.1429010330029996, 0.14311446899955627, 0.14281806600047275, 0.1427566719976312, 0.14293172500038054, 0.14267915600066772, 0.14286953199916752, 0.1472941020001599]"
2,Heap Sort,"[0.30910211200171034, 0.28459701399697224, 0.28498651099653216, 0.30642454199914937, 0.3241630960001203, 0.28477019799902337, 0.33063257799949497, 0.28972901399902184, 0.28419234300235985, 0.28806397799780825]"
2,Merge Sort,"[0.22371907599881524, 0.22359345299992128, 0.2339727619983023, 0.22474950500327395, 0.22987906299749739, 0.242287318000308, 0.22364871500030858, 0.23658740799874067, 0.2341188799982774, 0.2240058190000127]"
2,std::sort,"[0.22513648700260092, 0.2108297049999237, 0.21150210800260538, 0.21953620800195495, 0.21031357199899503, 0.21016329200210748, 0.21758000999761862, 0.24034447499798262, 0.21060464500260423, 0.21312282200233312]"
2,Numpy Sort,"[0.013475175001076423, 0.017889055001433007, 0.01354723899930832, 0.013581375002104323, 0.013574930999311619, 0.013563769000029424, 0.013461869999446208, 0.01354552599877934, 0.013453122999635525, 0.013574270000390243]"
