Data set #,Algorithm,Runtime
3,Quick Sort,"[0.1494348229971365, 0.16164463799941586, 0.1469893960020272, 0.14495638299922575, 0.1447960340010468, 0.14933162099987385, 0.1448501140002918, 0.14497144100096193, 0.14474089899886167, 0.14640395199967315]"
3,Heap Sort,"[0.31330581300062477, 0.28803680799683207, 0.3070742540003266, 0.28414957000131835, 0.2862494879991573, 0.28636117299902253, 0.3205308239994338, 0.28490261400293093, 0.2839060859987512, 0.2873710559979372]"
3,Merge Sort,"[0.223723154002073, 0.22604725700148265, 0.23210672500135843, 0.22382818999903975, 0.22571137200066005, 0.2404893249986344, 0.22379435800030478, 0.2331670329986082, 0.2240098289985326, 0.2238140139997995]"
3,std::sort,"[0.2523538970017398, 0.25032103700141306, 0.21259269199799746, 0.21256968800298637, 0.21323863300131052, 0.216443702000106, 0.23446654500003206, 0.21217027400052757, 0.23108984999998938, 0.24145334199783974]"
3,Numpy Sort,"[0.013551577001635451, 0.013423176998912822, 0.013460327001666883, 0.013839532999554649, 0.013405605001025833, 0.013334723000298254, 0.013446961998852203, 0.013352675996429753, 0.013488759999745525, 0.01347544499731157]"
4,Quick Sort,"[0.14371697299793595, 0.14505759200255852, 0.14388330200017663, 0.14663237599961576, 0.14765468400219106, 0.14887884600102552, 0.14430400600031135, 0.14401273099792888, 0.14359300100113614, 0.1457145969980047]"
4,Heap Sort,"[0.30903496999962954, 0.2864816279980005, 0.3130702230009774, 0.2841045370005304, 0.29475565499888035, 0.28492612799891504, 0.34109334599997965, 0.2849766549988999, 0.2954235180004616, 0.3064732360035123]"
4,Merge Sort,"[0.22393413000099827, 0.22803499400106375, 0.24168050799926277, 0.2238529339992965, 0.22966349299895228, 0.22996918799981358, 0.2312509699986549, 0.2244068090003566, 0.22472985200147377, 0.22580969399859896]"
4,std::sort,"[0.21291108499644906, 0.20809320300031686, 0.21195062499828055, 0.2261399809976865, 0.22157839799911017, 0.2109133699996164, 0.2088085659997887, 0.20764233199952287, 0.2093649739981629, 0.24713824900027248]"
4,Numpy Sort,"[0.013387720999162411, 0.013445529002638068, 0.013351913999940734, 0.013313333001860883, 0.013471066999045433, 0.01338428500093869, 0.013591270999313565, 0.013292022998939501, 0.01344724199952907, 0.013313062001543585]"
5,Quick Sort,"[0.14210277199890697, 0.15705765599705046, 0.14201192099790205, 0.14188710999951581, 0.14417956699981005, 0.14628446200003964, 0.14183585499995388, 0.15183389600133523, 0.15177956499974243, 0.14192199500030256]"
5,Heap Sort,"[0.2956221310014371, 0.2896658350000507, 0.31313223899996956, 0.2878951530001359, 0.28396475599947735, 0.2872450310023851, 0.29753800300022704, 0.2843482310017862, 0.28665500200077076, 0.28550126000118325]"
5,Merge Sort,"[0.22421125400069286, 0.23335233599937055, 0.24789605499972822, 0.2249801780017151, 0.22428841900182306, 0.22385874799874728, 0.22496858700105804, 0.23037409500102513, 0.22370966900052736, 0.22706011600166676]"
5,std::sort,"[0.21648897599880002, 0.2152662570006214, 0.21037974600039888, 0.21046571600163588, 0.21464010899944697, 0.21105859399904148, 0.2395390329984366, 0.24133573600192904, 0.22401986800105078, 0.21070339899961255]"
5,Numpy Sort,"[0.013541308002459118, 0.013613221999548841, 0.01357868700142717, 0.013534454999899026, 0.013553019998653326, 0.013471166999806883, 0.013640282002597814, 0.013498247997631552, 0.01348338000025251, 0.013428447000478627]"
6,Quick Sort,"[0.14230527999825426, 0.14429330699931597, 0.14230288500039023, 0.1440029749974201, 0.14298873399820877, 0.14223168199896463, 0.14234359100009897, 0.14347300800000085, 0.14239573899976676, 0.14643990799959283]"
6,Heap Sort,"[0.2974480359989684, 0.30618148899884545, 0.33198690399876796, 0.2820527609983401, 0.29438219900112017, 0.28416336600275827, 0.3371869180009526, 0.2842206230016018, 0.28711141999883694, 0.2825188099996012]"
6,Merge Sort,"[0.22378405899871723, 0.22362808800244238, 0.23515234400110785, 0.2238721350004198, 0.23606758000096306, 0.24032487800286617, 0.22589064500061795, 0.2237185559970385, 0.2256997600015893, 0.2253715579972777]"
6,std::sort,"[0.21066679299838142, 0.2111136470011843, 0.21077451900055166, 0.20959946800212492, 0.21049011200011591, 0.2110336539990385, 0.24394478800240904, 0.21030023699859157, 0.21001723999870592, 0.23160546099825297]"
6,Numpy Sort,"[0.018139641997549916, 0.013480254001478897, 0.013520759999664733, 0.013687399998161709, 0.017926524000358768, 0.013512634999642614, 0.01348598500044318, 0.013430652001261478, 0.013931187997513916, 0.013529044997994788]"
7,Quick Sort,"[0.1418832929994096, 0.16029347999938182, 0.14429947800090304, 0.14193815600083326, 0.14217574600115768, 0.14644260400018538, 0.14277821200084873, 0.1417451749985048, 0.14193747399986023, 0.14632600600089063]"
7,Heap Sort,"[0.28569803700156626, 0.28376233800008777, 0.325598892999551, 0.2838204260006023, 0.2989937769998505, 0.2838680729983025, 0.29597791499691084, 0.2863191119977273, 0.2836809460022778, 0.28643765699962387]"
7,Merge Sort,"[0.22410469600072247, 0.2297243940010958, 0.2243848580001213, 0.22389798000222072, 0.22382813999865903, 0.23720993299866677, 0.24149148400101694, 0.232062944000063, 0.2316129250029917, 0.26019195100161596]"
7,std::sort,"[0.21376510800109827, 0.21198637100314954, 0.21759337200273876, 0.21188958099810407, 0.21182217299792683, 0.21145524099847535, 0.21756306899987976, 0.212672820998705, 0.22509025299950736, 0.26455871500002104]"
7,Numpy Sort,"[0.013426323999738088, 0.013399183000728954, 0.013284558997838758, 0.013316328997461824, 0.01328618199841003, 0.013197016000049189, 0.013224898000771645, 0.013326086002052762, 0.01342795599703095, 0.013311970000358997]"
8,Quick Sort,"[0.15288472599786473, 0.15074901299885823, 0.1446186930006661, 0.14330907100156764, 0.14468211100029293, 0.1437303470011102, 0.14641954800026724, 0.1428646429994842, 0.14466414799971972, 0.15689285800181096]"
8,Heap Sort,"[0.2830246530029399, 0.2865386249977746, 0.3023381960010738, 0.2830939720006427, 0.294876481002575, 0.28414108399738325, 0.3336322380018828, 0.2982799060009711, 0.2850022099992202, 0.28544716000033077]"
8,Merge Sort,"[0.2236563730002672, 0.22663379100049497, 0.2446872020009323, 0.2236796030010737, 0.23204595199786127, 0.22397932200328796, 0.22495851699932246, 0.22402485700149555, 0.22355417900325847, 0.2280385509984626]"
8,std::sort,"[0.2095336979982676, 0.2243784640013473, 0.21213034900210914, 0.20968905799963977, 0.209307606000948, 0.22727973899964127, 0.2111590080021415, 0.20900041300046723, 0.21012591199905728, 0.25229059900084394]"
8,Numpy Sort,"[0.013476627002091845, 0.013395907000813168, 0.013568268001108663, 0.01344030000109342, 0.013521500997740077, 0.013475014999130508, 0.013911759000620805, 0.013339691999135539, 0.013430721999611706, 0.013702118001674535]"
9,Quick Sort,"[0.1576168060018972, 0.14517863699802547, 0.14511423699877923, 0.14506518500274979, 0.1474521560012363, 0.15779356799976085, 0.14514085599876125, 0.14517496099870186, 0.14799882499937667, 0.14500670699999318]"
9,Heap Sort,"[0.2851570390012057, 0.2949237489992811, 0.31211568400249234, 0.285908500001824, 0.2846397649991559, 0.289208141999552, 0.29501467600130127, 0.2839530940000259, 0.28585689299870864, 0.297484449998592]"
9,Merge Sort,"[0.22562151400052244, 0.24720577800326282, 0.2240012239999487, 0.22386773499965784, 0.22365712099781376, 0.22540462899996783, 0.2305353150004521, 0.22364892599944142, 0.23171232299864641, 0.22391368999888073]"
9,std::sort,"[0.20927528600077494, 0.21320269900024869, 0.2230771399990772, 0.21392877299877, 0.2252847740019206, 0.24822758400114253, 0.2095346599999175, 0.20993833200191148, 0.2086714610013587, 0.21618651199969463]"
9,Numpy Sort,"[0.01347886200164794, 0.013803747999190819, 0.013449936999677448, 0.013618973000120604, 0.013438886002404615, 0.013425532000837848, 0.013393171997449826, 0.013469304001773708, 0.013470957001118222, 0.013480924997566035]"
