Data set #,Algorithm,Runtime
2,Numpy Sort,"[0.013504569000360789, 0.013668495997990249, 0.014292267998825992, 0.013528544001019327, 0.013606630000140285, 0.015082261001225561, 0.013478200002282392, 0.013451441001961939, 0.013903562998166308, 0.013483228998666164]"
3,Quick Sort,"[0.15846632900138502, 0.1526490290016227, 0.14931658199930098, 0.1467873999972653, 0.16453544099931605, 0.16178406900144182, 0.1843227549979929, 0.2067903329989349, 0.1510772680012451, 0.1458851550014515]"
3,Heap Sort,"[0.28367078799783485, 0.30191396300142515, 0.31130106400087243, 0.34433021799850394, 0.31253510500027915, 0.294824743999925, 0.3650953640026273, 0.49792752099892823, 0.3908707400005369, 0.2975611560032121]"
3,Merge Sort,"[0.22477170000274782, 0.2683576659983373, 0.22599619299944607, 0.22682930599694373, 0.2265090719993168, 0.23204900800192263, 0.23981321399696753, 0.2881322960020043, 0.30999296599839, 0.23684536799919442]"
3,std::sort,"[0.2196789709996665, 0.24046741200072574, 0.22819535300004645, 0.2151521240011789, 0.2110185259989521, 0.22094386300159385, 0.2429731360025471, 0.23674339100034558, 0.3239423049999459, 0.3021292369994626]"
3,Numpy Sort,"[0.01338560699878144, 0.01352475699968636, 0.013387861999945017, 0.013379736999922898, 0.013665349000802962, 0.02188984399981564, 0.023515917997428915, 0.013937026000348851, 0.013494781000190414, 0.013712937998207053]"
4,Quick Sort,"[0.14510991900169756, 0.14381284100090852, 0.1448147670016624, 0.1442599039983179, 0.14974503100165748, 0.1439916439994704, 0.14771663899955456, 0.14419438199911383, 0.14387667999835685, 0.1453442560014082]"
4,Heap Sort,"[0.2896853620004549, 0.28662313200038625, 0.29791962500166846, 0.30432582600042224, 0.28468409999914, 0.3048445159984112, 0.2998371899993799, 0.28443602500192355, 0.31019530200137524, 0.28452682300121523]"
4,Merge Sort,"[0.22704845199768897, 0.22834700500243343, 0.22492293100003735, 0.2284842920016672, 0.28941653999936534, 0.31082897699889145, 0.24659341599908657, 0.22567773899936583, 0.22532810700067785, 0.24234253800022998]"
4,std::sort,"[0.22883032899699174, 0.2568098550000286, 0.2224206860009872, 0.20995303000017884, 0.22331061599834356, 0.2082442840001022, 0.23454067400234635, 0.21398622899869224, 0.23783706000176608, 0.24572774300031597]"
4,Numpy Sort,"[0.01764291500148829, 0.013324133000423899, 0.017003372999170097, 0.013349360000574961, 0.013400706000538776, 0.01558527900124318, 0.013360480999836, 0.013303704999998445, 0.013402168999164132, 0.013614274997962639]"
5,Quick Sort,"[0.14182080599857727, 0.19584403299813857, 0.16286648599998443, 0.14561612300167326, 0.14290104799874825, 0.14481408699793974, 0.14334163199964678, 0.1548738540004706, 0.1485014419995423, 0.14248289100214606]"
5,Heap Sort,"[0.3090219150035409, 0.2893766660017718, 0.32761731000209693, 0.3164628779995837, 0.2893621080002049, 0.2969573609989311, 0.34635644599984516, 0.33214563200090197, 0.2811565789997985, 0.28533150399744045]"
5,Merge Sort,"[0.2641325650001818, 0.22834466199856251, 0.2854320420010481, 0.25012766900181305, 0.23362465299942414, 0.22635870900194277, 0.22645660099806264, 0.2342740159983805, 0.2238168690018938, 0.23785771899929387]"
5,std::sort,"[0.2556926119978016, 0.21320777900109533, 0.21504088599976967, 0.2707906930008903, 0.2149054840010649, 0.23274556699834648, 0.22048805299709784, 0.23360838499866077, 0.24301682800069102, 0.21484451300057117]"
5,Numpy Sort,"[0.01348670600054902, 0.01937519499915652, 0.020464397999603534, 0.01346732000092743, 0.01405952400091337, 0.014036070999281947, 0.013835338999342639, 0.01346610799737391, 0.013443384999845875, 0.013440138998703333]"
6,Quick Sort,"[0.146092029997817, 0.1496705829995335, 0.15127900099832914, 0.15028780399734387, 0.14370969599985983, 0.14915097400080413, 0.1433809560003283, 0.14245130200288258, 0.14639193000039086, 0.16703079299986712]"
6,Heap Sort,"[0.2811520010000095, 0.28546333300255355, 0.28583938899828354, 0.2884475859973463, 0.28232438399936655, 0.3184578279979178, 0.28413395099778427, 0.3304710470001737, 0.4225795050006127, 0.31145007200029795]"
6,Merge Sort,"[0.22587659000055282, 0.2289011489992845, 0.22661941799742635, 0.23923450599977514, 0.22673470999870915, 0.22455765999984578, 0.22407860499879462, 0.2308796879988222, 0.22409255400270922, 0.2307422919984674]"
6,std::sort,"[0.21028952499909792, 0.20940462999715237, 0.24097155399795156, 0.21072437900147634, 0.24920376400041278, 0.21359144300004118, 0.20963104000111343, 0.21247270500316517, 0.2102409759972943, 0.21012416899975506]"
6,Numpy Sort,"[0.013383333000092534, 0.01340577500013751, 0.013439958998787915, 0.013586200999270659, 0.018006592999881832, 0.013527929997508181, 0.013389734998781933, 0.016434405002655694, 0.013513124999008141, 0.013823714998579817]"
7,Quick Sort,"[0.1433808379988477, 0.14246650999848498, 0.14241480399869033, 0.1495828890001576, 0.17367216400089092, 0.1452245229993423, 0.14798298900132068, 0.19659342100203503, 0.14291511699775583, 0.14195579800070846]"
7,Heap Sort,"[0.307531125999958, 0.28297978900081944, 0.2877641590021085, 0.2903305250001722, 0.2873515800019959, 0.3588421879976522, 0.29538712199791917, 0.3024244740008726, 0.3044930280011613, 0.3842586449973169]"
7,Merge Sort,"[0.22434421200159704, 0.22559714900125982, 0.22525788599887164, 0.22904109899900504, 0.22475327500069398, 0.24502107499938575, 0.22440083800029242, 0.22565992599993479, 0.22712670000328217, 0.22369125499972142]"
7,std::sort,"[0.23623283899723901, 0.21532621100050164, 0.21185094899919932, 0.24284600900136866, 0.34925204799947096, 0.21694503700200585, 0.2652386400004616, 0.21169885500057717, 0.21138430900100502, 0.2538271339981293]"
7,Numpy Sort,"[0.013401287000306183, 0.013339190998522099, 0.013255093999759993, 0.013479451998136938, 0.013714852000703104, 0.013316619999386603, 0.013293986998178298, 0.013259011000627652, 0.017521349000162445, 0.013329091998457443]"
8,Quick Sort,"[0.15080370500072604, 0.14302426999711315, 0.14423031900150818, 0.14615056699767592, 0.1979554099998495, 0.14626564400168718, 0.15583469499688363, 0.14328638599909027, 0.14550751100250636, 0.14291206100097043]"
8,Heap Sort,"[0.2870600269998249, 0.3215146350012219, 0.28730755600190605, 0.28604865099987364, 0.2857414659993083, 0.3303967389983882, 0.2845679799975187, 0.2845041709988436, 0.28937758800020674, 0.3009010540008603]"
8,Merge Sort,"[0.25169815399931394, 0.22366562699971837, 0.22614316699764458, 0.22374682900044718, 0.24702114100000472, 0.22548191399982898, 0.22974209699896164, 0.22421738599950913, 0.22594945499804453, 0.2239922890003072]"
8,std::sort,"[0.2120416239995393, 0.21675365900227916, 0.2169973710006161, 0.2149956489993201, 0.2140385070015327, 0.22257781000007526, 0.21420994700019946, 0.22207206600069185, 0.2586062739974295, 0.20898158899944974]"
8,Numpy Sort,"[0.013428056001430377, 0.01360798300083843, 0.013915796000219416, 0.01357092400212423, 0.013332128000911325, 0.013461618997098412, 0.013434017997496994, 0.013451590999466134, 0.01341520300047705, 0.01411071999973501]"
9,Quick Sort,"[0.1451544230003492, 0.1461634139996022, 0.1497272710003017, 0.14526369600207545, 0.1451727990024665, 0.14703316500163055, 0.14646798399917316, 0.14932762300304603, 0.14527060899854405, 0.14547789500284125]"
9,Heap Sort,"[0.3099607259973709, 0.3169443759979913, 0.2846789870018256, 0.28221163700072793, 0.28546937099963543, 0.29763622699829284, 0.29262075500082574, 0.35183161399982055, 0.28820283700042637, 0.2811997100034205]"
9,Merge Sort,"[0.2246496820007451, 0.22675139000057243, 0.23396562400012044, 0.24074381999889738, 0.22399982800197904, 0.2241608600015752, 0.22729511500074295, 0.22433623699907912, 0.23335254799894756, 0.22851758300021174]"
9,std::sort,"[0.20932459799951175, 0.20897766199777834, 0.21486888599974918, 0.20842512099989108, 0.2232749180002429, 0.21230572700005723, 0.2096011739995447, 0.2095482950026053, 0.27094713400219916, 0.23543604299993603]"
9,Numpy Sort,"[0.013823694996972336, 0.01764771500165807, 0.01338461500199628, 0.013554422999732196, 0.013698611001018435, 0.013305098000273574, 0.013345183000637917, 0.013478370001394069, 0.013410243001999334, 0.013495792998583056]"
