Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024423247999948217, 0.02372419699895545, 0.02488214299955871, 0.023349424998741597, 0.024269901998195564, 0.023295925002457807, 0.05098769400137826, 0.023308889001782518, 0.024133487000653986, 0.023245872002007673]"
0,Heap Sort,"[0.20456853300129296, 0.23666943300122512, 0.1877394129987806, 0.18791396499727853, 0.20966798800145625, 0.19041568199827452, 0.18757463499787264, 0.19150461300159805, 0.19752076900113025, 0.18862163700032397]"
0,Merge Sort,"[0.11170076800044626, 0.10429850600121426, 0.1043544899985136, 0.10440841099989484, 0.10456207999959588, 0.10439992200190318, 0.10440205900158617, 0.10509307699976489, 0.10493385999870952, 0.17980538699703175]"
0,std::sort,"[0.09199570400232915, 0.09114688499903423, 0.0737723489983182, 0.08100549399750889, 0.09986411000136286, 0.07972939699902781, 0.07749072300066473, 0.10856675399918458, 0.09558660000038799, 0.07393598499766085]"
0,Numpy Sort,"[0.012836893998610321, 0.01294609899923671, 0.012896164997073356, 0.012888321001810255, 0.012749572000757325, 0.019483545002003666, 0.018266867999045644, 0.019703767997270916, 0.012972957996680634, 0.012774437996995403]"
1,Quick Sort,"[0.029627220003021648, 0.023715488001471385, 0.02980176799974288, 0.023577310003020102, 0.03050115999940317, 0.023602265999215888, 0.030188958000508137, 0.023494556997320615, 0.029764606999378884, 0.023894031000963878]"
1,Heap Sort,"[0.2127232249986264, 0.20100186000126996, 0.23124611100138281, 0.19020513000214123, 0.21071445000052336, 0.223223583001527, 0.21007735099919955, 0.18825619699782692, 0.21273760099938954, 0.18710404800003744]"
1,Merge Sort,"[0.10341037999751279, 0.10351290100152255, 0.10342621900053928, 0.10449288499876275, 0.10357053800180438, 0.10356935000163503, 0.10667168800137006, 0.10719844599952921, 0.10376485899905674, 0.10362820400041528]"
1,std::sort,"[0.09488991599937435, 0.07375404499907745, 0.09145091100072023, 0.05913133099966217, 0.05938562599840225, 0.07459791799919913, 0.07729885500157252, 0.059107487002620474, 0.059437662002892466, 0.09484135200182209]"
1,Numpy Sort,"[0.01635148700006539, 0.012973960001545493, 0.012820034000469605, 0.013079145999654429, 0.012786179999238811, 0.012892798000393668, 0.013958756000647554, 0.012864906999311643, 0.012907265001558699, 0.014505095001368318]"
2,Quick Sort,"[0.3162654799998563, 0.197713338999165, 0.14433825999731198, 0.15316517899918836, 0.19669258599969908, 0.20765464400028577, 0.23173472200141987, 0.14362937799887732, 0.15960328999790363, 0.19892731199797709]"
2,Heap Sort,"[0.3383347419985512, 0.3242638130031992, 0.2819982490000257, 0.28917351799827884, 0.30109296099908534, 0.29175328799829003, 0.33219770600044285, 0.4447062889994413, 0.33269734799978323, 0.36071427299975767]"
2,Merge Sort,"[0.23416062500109547, 0.2684176410002692, 0.22733665199848474, 0.22483843399822945, 0.22580636799830245, 0.23384576800162904, 0.2236884789999749, 0.22505579900098382, 0.2300681140004599, 0.23538630999973975]"
2,std::sort,"[0.2218818539986387, 0.228568181002629, 0.23246495399871492, 0.25547233099860023, 0.22896165199927054, 0.21643095800027368, 0.22205036300147185, 0.22379421699952218, 0.2611019579999265, 0.2531534779991489]"
