,0,1,2,3,4,5,6,7,8,9
Quick Sort,0.025173399190845724,0.027497950527123814,0.15381754669995806,0.14888452152722906,0.1466805877273807,0.15270128045446077,0.1495014852634499,0.14697723806371374,0.14878600292722696,0.15678940257289056
Heap Sort,0.19799472988171063,0.19802591574562856,0.3073550565091533,0.3095249668545545,0.29664206790012854,0.33573569433640593,0.3053253646635395,0.30257366577246686,0.29812022920027215,0.3161352508089873
Merge Sort,0.11013276167283369,0.11826644553644158,0.23270426661808666,0.23910133855431256,0.23357752470907478,0.2501156266363317,0.23213157176353638,0.22985645401845842,0.230343433136725,0.23224432364543396
std::sort,0.08026125661821093,0.08359526446398707,0.22615773420008986,0.22698339639093978,0.21968155527257213,0.22460429235460733,0.22482976194534618,0.22754847211829413,0.22324220129094927,0.22034822254546188
Numpy Sort,0.013862158036268241,0.015296039872952282,0.014298623145408453,0.013858755054686546,0.014050997127229821,0.013953413763672208,0.014018664118041422,0.013785068881737639,0.014186207254533656,0.014370474472690891
